,_id,count,count_with_activity,ratio
675,Fondue Restaurant,69,50.0,72.46
676,Driveshaft Shop,68,36.0,52.94
677,Delivery Chinese Restaurant,68,27.0,39.71
678,Cantonese Restaurant,68,49.0,72.06
679,Medical School,68,,
680,Beer Hall,68,39.0,57.35
681,Cutlery Store,68,17.0,25.0
682,Fusion Restaurant,67,43.0,64.18
683,Donations Center,67,,
684,Juice Bar,67,38.0,56.72
685,Dim Sum Restaurant,67,40.0,59.7
686,Duty Free Store,67,4.0,5.97
687,Fruit And Vegetable Store,67,16.0,23.88
688,Stamp Shop,66,2.0,3.03
689,Banner Store,66,2.0,3.03
690,Pancake Restaurant,66,60.0,90.91
691,Rustic Furniture Store,66,11.0,16.67
692,Tapas Bar,66,19.0,28.79
693,Harley-davidson Dealer,65,61.0,93.85
694,Butchers,65,32.0,49.23
695,Golf Course,65,54.0,83.08
696,Japanese Grocery Store,65,59.0,90.77
697,Urology Clinic,64,3.0,4.69
698,Kitchen Furniture Store,64,,
699,Lawn Mower Repair Service,64,23.0,35.94
700,School Supply Store,64,,
701,Martial Arts Supply Store,64,8.0,12.5
702,Pretzel Store,64,15.0,23.44
703,Kosher Grocery Store,63,51.0,80.95
704,Barber Supply Store,63,,
705,Repair Service,63,21.0,33.33
706,Nutritionist,63,4.0,6.35
707,Mexican Goods Store,62,22.0,35.48
708,Nephrologist,62,4.0,6.45
709,Frozen Yoghurt Shop,62,24.0,38.71
710,Pen Store,62,3.0,4.84
711,Embroidery Service,62,8.0,12.9
712,Distribution Service,61,18.0,29.51
713,Fence Supply Store,61,12.0,19.67
714,Golf Cart Dealer,61,20.0,32.79
715,Volkswagen Dealer,61,58.0,95.08
716,Petrol Station,61,41.0,67.21
717,Adult Dvd Store,61,1.0,1.64
718,Door Shop,60,,
719,Musical Instrument Repair Shop,60,11.0,18.33
720,Diabetes Center,60,4.0,6.67
721,Knit Shop,60,9.0,15.0
722,Motor Scooter Dealer,60,18.0,30.0
723,Graphic Designer,60,,
724,Emergency Care Physician,60,,
725,Magic Store,60,6.0,10.0
726,Down Home Cooking Restaurant,60,27.0,45.0
727,Cider Bar,60,39.0,65.0
728,Go-kart Track,60,33.0,55.0
729,Cafeteria,59,24.0,40.68
730,Nail Salon,58,24.0,41.38
731,Electric Motor Repair Shop,58,27.0,46.55
732,Casino,58,29.0,50.0
733,British Restaurant,58,33.0,56.9
734,Promotional Products Supplier,58,,
735,Dvd Store,57,12.0,21.05
736,Banquet Hall,57,26.0,45.61
737,South African Restaurant,57,47.0,82.46
738,Conveyor Belt Sushi Restaurant,57,43.0,75.44
739,Kia Dealer,56,48.0,85.71
740,Malaysian Restaurant,56,45.0,80.36
741,Outlet Mall,56,41.0,73.21
742,Tailor,56,4.0,7.14
743,Bathroom Remodeler,56,,
744,Wellness Program,56,5.0,8.93
745,Moroccan Restaurant,56,32.0,57.14
746,Counselor,55,3.0,5.45
747,Audiologist,55,3.0,5.45
748,Modern Indian Restaurant,55,39.0,70.91
749,Creole Restaurant,55,32.0,58.18
750,Southern Italian Restaurant,55,45.0,81.82
751,Bag Shop,55,,
752,Soup Restaurant,55,31.0,56.36
753,Chinese Noodle Restaurant,54,37.0,68.52
754,Farm,54,,
755,Building Materials Supplier,54,4.0,7.41
756,Auto Bodywork Mechanic,54,7.0,12.96
757,Gmc Dealer,54,51.0,94.44
758,Otolaryngologist,54,7.0,12.96
759,Airsoft Supply Store,54,29.0,53.7
760,Painting Studio,54,15.0,27.78
761,East African Restaurant,54,33.0,61.11
762,Vascular Surgeon,53,5.0,9.43
763,Import Export Company,53,,
764,Flower Designer,52,7.0,13.46
765,Prosthodontist,52,9.0,17.31
766,Salvage Yard,52,33.0,63.46
767,Wine Shop,52,25.0,48.08
768,Allergist,52,21.0,40.38
769,Jazz Club,52,22.0,42.31
770,Moving Supply Store,52,13.0,25.0
771,Subaru Dealer,51,48.0,94.12
772,Food Court,51,30.0,58.82
773,Pasta Shop,51,26.0,50.98
774,Free Clinic,51,11.0,21.57
775,Jeep Dealer,50,45.0,90.0
776,Auto Broker,50,13.0,26.0
777,Athletic Club,50,23.0,46.0
778,Veterans Hospital,50,,
779,E-commerce Service,50,6.0,12.0
780,Spa,50,12.0,24.0
781,Tuning Automobile,49,5.0,10.2
782,Snowboard Shop,49,11.0,22.45
783,Modern European Restaurant,49,26.0,53.06
784,Southeast Asian Restaurant,49,35.0,71.43
785,Millwork Shop,49,22.0,44.9
786,Nuevo Latino Restaurant,49,36.0,73.47
787,Psychiatric Hospital,47,,
788,Bmw Dealer,47,41.0,87.23
789,Health Food Shop,47,17.0,36.17
790,Rv Supply Store,47,22.0,46.81
791,Art Cafe,47,9.0,19.15
792,Furniture Rental Service,47,19.0,40.43
793,Noodle Shop,47,35.0,74.47
794,Auto Spring Shop,46,23.0,50.0
795,Hydroponics Equipment Supplier,46,33.0,71.74
796,Architectural Salvage Store,46,15.0,32.61
797,Audio Visual Equipment Supplier,46,,
798,Training Centre,46,2.0,4.35
799,Screen Printing Supply Store,45,17.0,37.78
800,South American Restaurant,45,36.0,80.0
801,Audi Dealer,45,42.0,93.33
802,Heart Hospital,45,,
803,Golf Club,45,28.0,62.22
804,Addiction Treatment Center,45,3.0,6.67
805,Nut Store,45,14.0,31.11
806,Propeller Shop,44,14.0,31.82
807,Specialized Clinic,44,6.0,13.64
808,Mri Center,44,10.0,22.73
809,Central American Restaurant,44,36.0,81.82
810,Martial Arts Club,44,11.0,25.0
811,Water Softening Equipment Supplier,44,3.0,6.82
812,Dumpling Restaurant,44,31.0,70.45
813,Holistic Medicine Practitioner,44,6.0,13.64
814,Welder,44,,
815,Gluten-free Restaurant,44,30.0,68.18
816,University,44,,
817,Tourist Attraction,44,22.0,50.0
818,Party Equipment Rental Service,43,7.0,16.28
819,Newsstand,43,4.0,9.3
820,Catering Food And Drink Supplier,43,13.0,30.23
821,Acura Dealer,43,37.0,86.05
822,Veterinarian,43,29.0,67.44
823,Cadillac Dealer,43,36.0,83.72
824,Laotian Restaurant,43,34.0,79.07
825,Hot Dog Stand,43,19.0,44.19
826,Izakaya Restaurant,42,29.0,69.05
827,Mammography Service,42,21.0,50.0
828,Trailer Supply Store,42,25.0,59.52
829,Masonry Supply Store,42,20.0,47.62
830,Auto Wrecker,42,12.0,28.57
831,Museum,42,17.0,40.48
832,Birth Center,42,11.0,26.19
833,Amusement Machine Supplier,42,,
834,Flooring Contractor,41,,
835,Piano Bar,41,3.0,7.32
836,Continental Restaurant,41,26.0,63.41
837,Native American Goods Store,41,7.0,17.07
838,Takeaway,41,18.0,43.9
839,Sports Club,40,16.0,40.0
840,Eastern European Restaurant,40,24.0,60.0
841,Indonesian Restaurant,40,32.0,80.0
842,Scuba Instructor,40,,
843,Cambodian Restaurant,40,29.0,72.5
844,Laser Hair Removal Service,40,1.0,2.5
845,Loan Agency,40,6.0,15.0
846,Event Planner,40,4.0,10.0
847,Clothing Alteration Service,40,7.0,17.5
848,School,40,1.0,2.5
849,Auto Sunroof Shop,40,15.0,37.5
850,Food Products Supplier,40,17.0,42.5
851,Magazine Store,40,2.0,5.0
852,Local Medical Services,40,8.0,20.0
853,Beach Clothing Store,39,13.0,33.33
854,Dried Flower Shop,39,2.0,5.13
855,Belgian Restaurant,39,20.0,51.28
856,Radiator Shop,39,11.0,28.21
857,Mobile Home Supply Store,39,21.0,53.85
858,Mandarin Restaurant,39,20.0,51.28
859,Fish Store,39,15.0,38.46
860,Bicycle Shop,39,1.0,2.56
861,Construction Company,39,,
862,Recording Studio,38,,
863,Shanghainese Restaurant,38,26.0,68.42
864,Religious Book Store,38,15.0,39.47
865,Marina,38,18.0,47.37
866,Otolaryngology Clinic,38,7.0,18.42
867,Hair Transplantation Clinic,38,8.0,21.05
868,Infectious Disease Physician,38,4.0,10.53
869,Physiotherapist,38,1.0,2.63
870,Modern French Restaurant,38,22.0,57.89
871,Farm Equipment Supplier,38,30.0,78.95
872,Armenian Restaurant,38,25.0,65.79
873,Uzbeki Restaurant,38,35.0,92.11
874,Stores And Shopping,38,8.0,21.05
875,Health,37,6.0,16.22
876,Gay Night Club,37,6.0,16.22
877,Shabu-shabu Restaurant,37,27.0,72.97
878,Day Spa,37,11.0,29.73
879,Crab House,37,19.0,51.35
880,Israeli Restaurant,37,23.0,62.16
881,Fertility Clinic,36,15.0,41.67
882,Naturopathic Practitioner,36,5.0,13.89
883,Wheelchair Store,36,8.0,22.22
884,Infiniti Dealer,36,34.0,94.44
885,Map Store,36,3.0,8.33
886,Distillery,36,22.0,61.11
887,Beach Entertainment Shop,36,6.0,16.67
888,Shelving Store,36,6.0,16.67
889,Emergency Care Service,36,4.0,11.11
890,Aromatherapy Supply Store,35,4.0,11.43
891,Dinner Theater,35,12.0,34.29
892,Bangladeshi Restaurant,35,17.0,48.57
893,Gymnastics Club,35,24.0,68.57
894,Car Alarm Supplier,35,,
895,Country Club,35,25.0,71.43
896,Dry Cleaner,35,6.0,17.14
897,Fashion Designer,35,1.0,2.86
898,Tennis Club,35,21.0,60.0
899,Lexus Dealer,35,31.0,88.57
900,Tractor Dealer,35,17.0,48.57
901,Animal Feed Shop,35,17.0,48.57
902,Knife Store,35,7.0,20.0
903,Public Medical Center,34,,
904,Equestrian Store,34,8.0,23.53
905,Tool Repair Shop,34,20.0,58.82
906,Music School,34,20.0,58.82
907,Meat Products,34,13.0,38.24
908,Hunan Restaurant,34,17.0,50.0
909,Teeth Whitening Service,34,4.0,11.76
910,Used Motorcycle Dealer,34,14.0,41.18
911,Wedding Venue,34,15.0,44.12
912,Oil Store,34,3.0,8.82
913,Futon Store,33,,
914,Sushi Takeaway,33,2.0,6.06
915,Mercedes-benz Dealer,33,32.0,96.97
916,Womens Personal Trainer,33,4.0,12.12
917,Used Bicycle Shop,33,6.0,18.18
918,Window Installation Service,33,,
919,Carpet Installer,33,,
920,Tamale Shop,33,17.0,51.52
921,Jewelry Repair Service,32,4.0,12.5
922,Firearms Academy,32,4.0,12.5
923,Industrial Equipment Supplier,32,12.0,37.5
924,Arena,32,10.0,31.25
925,Small Engine Repair Service,32,9.0,28.12
926,University Hospital,32,,
927,Ham Shop,32,18.0,56.25
928,Patisserie,32,19.0,59.38
929,Cake Decorating Equipment Shop,31,10.0,32.26
930,Digital Printing Service,31,10.0,32.26
931,Anesthesiologist,31,2.0,6.45
932,Medical Examiner,31,,
933,Kite Shop,31,1.0,3.23
934,Electric Motor Store,31,8.0,25.81
935,Theme Park,31,14.0,45.16
936,Flea Market,31,19.0,61.29
937,Model Shop,30,4.0,13.33
938,Irish Goods Store,30,5.0,16.67
939,Paintball Store,30,16.0,53.33
940,Consultant,30,2.0,6.67
941,Wood Stove Shop,30,2.0,6.67
942,Discount Shop,30,29.0,96.67
943,Fried Chicken Takeaway,30,18.0,60.0
944,Amish Furniture Store,30,5.0,16.67
945,Child Health Care Centre,29,12.0,41.38
946,Motor Vehicle Dealer,29,7.0,24.14
947,Hunting And Fishing Store,29,4.0,13.79
948,Sweet Shop,29,11.0,37.93
949,Art Studio,29,3.0,10.34
950,Bicycle Rental Service,29,6.0,20.69
951,Furniture Maker,29,,
952,Auto Insurance Agency,29,,
953,Insurance Agency,29,,
954,Ambulance Service,29,,
955,Poster Store,29,,
956,Cd Store,29,,
957,Shopping Centre,28,23.0,82.14
958,Beer Shop,28,14.0,50.0
959,Burmese Restaurant,28,21.0,75.0
960,Engraver,28,9.0,32.14
961,Stained Glass Studio,28,7.0,25.0
962,Apartment Building,28,,
963,Meat Processor,28,,
964,Pond Supply Store,28,5.0,17.86
965,Sports Medicine Physician,27,6.0,22.22
966,Shipping And Mailing,27,5.0,18.52
967,Teppanyaki Restaurant,27,25.0,92.59
968,Family Service Center,27,17.0,62.96
969,Locksmith,27,,
970,Software Company,27,,
971,Physiatrist,27,3.0,11.11
972,Church,27,6.0,22.22
973,Business To Business Service,27,6.0,22.22
974,Travel Clinic,27,6.0,22.22
975,Business Management Consultant,27,2.0,7.41
976,Storage Facility,27,,
977,Falafel Restaurant,27,19.0,70.37
978,Coffee Wholesaler,26,5.0,19.23
979,Auto Auction,26,18.0,69.23
980,Party Shop,26,21.0,80.77
981,Hair Extensions Supplier,26,4.0,15.38
982,Public Swimming Pool,26,6.0,23.08
983,Dj Supply Store,26,,
984,Dialysis Center,26,13.0,50.0
985,Wholesale Jeweler,26,4.0,15.38
986,Rare Book Store,26,1.0,3.85
987,Hematologist,25,,
988,Swimming Pool Contractor,25,1.0,4.0
989,Hunting Store,25,3.0,12.0
990,Money Transfer Service,25,2.0,8.0
991,Medical Technology Manufacturer,25,,
992,Plumber,25,,
993,Indian Grocery Shop,25,17.0,68.0
994,Russian Grocery Store,25,21.0,84.0
995,Granite Supplier,25,5.0,20.0
996,Marriage Counselor,25,,
997,Social Services Organization,25,,
998,Georgian Restaurant,25,22.0,88.0
999,X-ray Equipment Supplier,24,3.0,12.5
1000,Nursing Home,24,,
1001,Radiator Repair Service,24,7.0,29.17
1002,Gourmet Grocery Shop,24,15.0,62.5
1003,Abortion Clinic,24,2.0,8.33
1004,Tractor Repair Shop,24,2.0,8.33
1005,Flower Delivery,24,4.0,16.67
1006,Check Cashing Service,24,9.0,37.5
1007,Electrician,24,,
1008,Used Musical Instrument Store,24,,
1009,Truck Parts Supplier,24,18.0,75.0
1010,Electronics Manufacturer,24,,
1011,Nightclub,24,2.0,8.33
1012,Fur Coat Shop,24,4.0,16.67
1013,Scooter Repair Shop,23,3.0,13.04
1014,Restaurant Or Cafe,23,2.0,8.7
1015,Gambling House,23,4.0,17.39
1016,Marketing Agency,23,,
1017,Swedish Restaurant,23,18.0,78.26
1018,Drum Store,23,,
1019,Contractor,23,,
1020,Sports School,23,12.0,52.17
1021,Artist,23,2.0,8.7
1022,Telecommunications Service Provider,23,,
1023,Security System Supplier,23,,
1024,Dairy Store,23,13.0,56.52
1025,Occupational Therapist,23,4.0,17.39
1026,Veterans Organization,22,,
1027,Office Equipment Supplier,22,1.0,4.55
1028,Family Planning Center,22,,
1029,Unfinished Furniture Store,22,1.0,4.55
1030,Yemenite Restaurant,22,10.0,45.45
1031,Small Plates Restaurant,22,14.0,63.64
1032,Bottled Water Supplier,22,6.0,27.27
1033,Dart Supply Store,22,6.0,27.27
1034,Medical Certificate Service,22,2.0,9.09
1035,Professional Services,22,1.0,4.55
1036,Hospital Department,22,5.0,22.73
1037,Karaoke,22,5.0,22.73
1038,Plastic Surgery Clinic,22,,
1039,Metal Fabricator,22,,
1040,Newspaper Publisher,22,2.0,9.09
1041,Invitation Printing Service,21,2.0,9.52
1042,Church Supply Store,21,4.0,19.05
1043,Roofing Contractor,21,,
1044,Fence Contractor,21,,
1045,Biscuit Shop,21,8.0,38.1
1046,Taekwondo School,21,4.0,19.05
1047,Ski Rental Service,21,11.0,52.38
1048,Golf Driving Range,21,13.0,61.9
1049,Massage Supply Store,21,3.0,14.29
1050,Smart Shop,21,1.0,4.76
1051,Laboratory,21,,
1052,Auction House,21,5.0,23.81
1053,Vegetarian Cafe And Deli,20,9.0,45.0
1054,Bed Shop,20,1.0,5.0
1055,Photographer,20,2.0,10.0
1056,Silk Plant Shop,20,2.0,10.0
1057,Dental Hygienist,20,11.0,55.0
1058,Corporate Campus,20,,
1059,Pathologist,20,,
1060,Hong Kong Style Fast Food Restaurant,20,10.0,50.0
1061,Traditional Restaurant,20,12.0,60.0
1062,Appliance Parts Supplier,20,,
1063,Beer Distributor,20,15.0,75.0
1064,Paintball Center,20,9.0,45.0
1065,Tea Room,20,7.0,35.0
1066,Kiosk,20,,
1067,Computer Consultant,20,2.0,10.0
1068,Internal Medicine Ward,20,8.0,40.0
1069,Video Game Rental Service,20,1.0,5.0
1070,Computer Accessories Store,20,2.0,10.0
1071,Mexican Grocers,20,17.0,85.0
1072,Waste Management Service,20,,
1073,Music Instructor,20,10.0,50.0
1074,Woodworker,20,,
1075,Children Policlinic,19,10.0,52.63
1076,Monogramming Service,19,1.0,5.26
1077,Rubber Stamp Store,19,3.0,15.79
1078,Rock Climbing,19,10.0,52.63
1079,Refrigerator Store,19,5.0,26.32
1080,Volvo Dealer,19,18.0,94.74
1081,Catering,19,4.0,21.05
1082,Water Ski Shop,19,5.0,26.32
1083,Public Health Department,19,,
1084,Art Center,19,7.0,36.84
1085,Egyptian Restaurant,19,8.0,42.11
1086,Mexican Torta Restaurant,19,12.0,63.16
1087,Cell Phone Accessory Store,19,5.0,26.32
1088,Vending Machine Supplier,19,,
1089,Swimming Instructor,19,8.0,42.11
1090,Gift Wrap Store,19,1.0,5.26
1091,Chophouse Restaurant,19,15.0,78.95
1092,Childrens Book Store,18,4.0,22.22
1093,Furniture Wholesaler,18,4.0,22.22
1094,Mobile Caterer,18,,
1095,Website Designer,18,,
1096,Costa Rican Restaurant,18,11.0,61.11
1097,Water Sports Equipment Rental Service,18,1.0,5.56
1098,Furniture Accessories,18,3.0,16.67
1099,Auto Parts Market,18,2.0,11.11
1100,Packaging Company,18,,
1101,Lasik Surgeon,18,8.0,44.44
1102,Coworking Space,18,,
1103,Self Service Restaurant,18,1.0,5.56
1104,Chrysler Dealer,18,17.0,94.44
1105,Shopping Complex,18,13.0,72.22
1106,Wok Restaurant,18,8.0,44.44
1107,Animal Hospital,18,16.0,88.89
1108,Tiki Bar,18,8.0,44.44
1109,Home Builder,18,,
1110,Pan-latin Restaurant,18,14.0,77.78
1111,Sri Lankan Restaurant,18,12.0,66.67
1112,Pharmaceutical Company,18,,
1113,Neurosurgeon,18,1.0,5.56
1114,Japanese Curry Restaurant,18,12.0,66.67
1115,Charity,18,,
1116,Acupuncturist,17,3.0,17.65
1117,Laundromat,17,5.0,29.41
1118,Pinball Machine Supplier,17,,
1119,Screen Store,17,1.0,5.88
1120,Container Supplier,17,,
1121,Australian Restaurant,17,11.0,64.71
1122,Social Club,17,6.0,35.29
1123,Airport,17,3.0,17.65
1124,Mobility Equipment Supplier,17,1.0,5.88
1125,Remodeler,17,,
1126,Archery Range,17,10.0,58.82
1127,Landscaper,17,,
1128,Mitsubishi Dealer,17,15.0,88.24
1129,Phone Repair Service,17,2.0,11.76
1130,Chocolate Factory,17,5.0,29.41
1131,Nursing Agency,17,2.0,11.76
1132,Beverage Distributor,17,5.0,29.41
1133,Beauty Product Supplier,17,2.0,11.76
1134,Oriental Goods Store,17,7.0,41.18
1135,Party Planner,17,8.0,47.06
1136,Door Supplier,17,,
1137,Buick Dealer,17,13.0,76.47
1138,Chinaware Store,16,,
1139,Wedding Service,16,1.0,6.25
1140,Executive Suite Rental Agency,16,,
1141,Forklift Dealer,16,5.0,31.25
1142,Chocolate Cafe,16,3.0,18.75
1143,Storage,16,,
1144,Preschool,16,,
1145,Food Manufacturer,16,1.0,6.25
1146,Variety Shop,16,12.0,75.0
1147,Gas Shop,16,4.0,25.0
1148,Public Golf Course,16,12.0,75.0
1149,Mailing Machine Supplier,16,1.0,6.25
1150,Private Hospital,16,1.0,6.25
1151,Curtain Store,16,4.0,25.0
1152,Tanning Salon,16,3.0,18.75
1153,Neapolitan Restaurant,16,13.0,81.25
1154,Photo Lab,16,,
1155,Book Shop,15,11.0,73.33
1156,Swimming School,15,7.0,46.67
1157,Wholesale Bakery,15,8.0,53.33
1158,Entertainment Agency,15,4.0,26.67
1159,Research Institute,15,,
1160,Jewish Restaurant,15,10.0,66.67
1161,Dry Wall Supply Store,15,4.0,26.67
1162,Dressmaker,15,2.0,13.33
1163,Saddlery,15,1.0,6.67
1164,Travel Agency,15,3.0,20.0
1165,Real Estate Agency,15,2.0,13.33
1166,Logistics,15,3.0,20.0
1167,Wrestling School,15,3.0,20.0
1168,Sewing Company,15,,
1169,Porsche Dealer,15,12.0,80.0
1170,Exporter,15,2.0,13.33
1171,Country Food Restaurant,15,6.0,40.0
1172,Antique Furniture Restoration Service,15,4.0,26.67
1173,Clock Repair Service,15,5.0,33.33
1174,University Department,15,,
1175,After School Program,15,,
1176,City Government Office,15,1.0,6.67
1177,Sheet Music Store,14,,
1178,Greenhouse,14,2.0,14.29
1179,Day Care Center,14,2.0,14.29
1180,Used Truck Dealer,14,6.0,42.86
1181,Vehicle Inspection,14,8.0,57.14
1182,Health Spa,14,4.0,28.57
1183,Land Rover Dealer,14,13.0,92.86
1184,Performing Arts Theater,14,,
1185,Watch Repair Service,14,5.0,35.71
1186,Advertising Agency,14,,
1187,Auto Accessories Wholesaler,14,6.0,42.86
1188,Pet Adoption Service,14,8.0,57.14
1189,Race Car Dealer,14,3.0,21.43
1190,Seasonal Goods Store,14,1.0,7.14
1191,Fresh Food Market,14,10.0,71.43
1192,Handyman,14,,
1193,Permanent Make-up Clinic,14,,
1194,Sewing Machine Repair Service,14,6.0,42.86
1195,Swimming Pool,14,6.0,42.86
1196,Sundae Restaurant,14,7.0,50.0
1197,Jaguar Dealer,14,8.0,57.14
1198,Association,14,,
1199,Garden Furniture Shop,14,,
1200,Hoagie Restaurant,14,9.0,64.29
1201,Bicycle Wholesale,14,1.0,7.14
1202,Lincoln Dealer,14,10.0,71.43
1203,Midwife,14,5.0,35.71
1204,Boat Accessories Supplier,14,2.0,14.29
1205,Importer,14,4.0,28.57
1206,Accountant,14,1.0,7.14
1207,Eritrean Restaurant,14,7.0,50.0
1208,Dance Hall,14,5.0,35.71
1209,Camera Repair Shop,14,6.0,42.86
1210,Marketing Consultant,14,,
1211,Property Management Company,14,,
1212,Notions Store,13,2.0,15.38
1213,Recycling Center,13,4.0,30.77
1214,Modern Izakaya Restaurants,13,8.0,61.54
1215,Water Park,13,6.0,46.15
1216,Equipment Supplier,13,2.0,15.38
1217,Teaching Hospital,13,,
1218,Electronic Parts Supplier,13,6.0,46.15
1219,Customs Broker,13,1.0,7.69
1220,Internet Marketing Service,13,,
1221,Sicilian Restaurant,13,11.0,84.62
1222,Television Repair Service,13,2.0,15.38
1223,Lottery Retailer,13,1.0,7.69
1224,Bbq Area,13,9.0,69.23
1225,Shisha Bar,13,3.0,23.08
1226,Auto Chemistry Shop,13,5.0,38.46
1227,Historical Landmark,13,5.0,38.46
1228,Air Conditioning Repair Service,13,1.0,7.69
1229,Furnace Store,13,,
1230,Wedding Planner,13,1.0,7.69
1231,New England Restaurant,13,8.0,61.54
1232,Publisher,13,1.0,7.69
1233,County Government Office,13,,
1234,Rice Restaurant,13,4.0,30.77
1235,Office Space Rental Agency,13,,
1236,Natural Foods Shop,13,5.0,38.46
1237,Amusement Centre,13,7.0,53.85
1238,Dental School,13,1.0,7.69
1239,Syrian Restaurant,13,11.0,84.62
1240,Honey Farm,13,,
1241,Golf Instructor,13,2.0,15.38
1242,Psychic,13,5.0,38.46
1243,Basque Restaurant,13,7.0,53.85
1244,Estate Liquidator,13,4.0,30.77
1245,Gymnasium School,13,,
1246,Parking Garage,12,,
1247,Yakiniku Restaurant,12,9.0,75.0
1248,Musician,12,,
1249,Airbrushing Service,12,1.0,8.33
1250,Tile Contractor,12,,
1251,Automotive,12,,
1252,Equipment Rental Agency,12,3.0,25.0
1253,English Restaurant,12,6.0,50.0
1254,Rubber Products Supplier,12,2.0,16.67
1255,Facial Spa,12,,
1256,Building,12,4.0,33.33
1257,Event Management Company,12,1.0,8.33
1258,Uruguayan Restaurant,12,9.0,75.0
1259,Dj Service,12,,
1260,Chicken Shop,12,7.0,58.33
1261,Reproductive Health Clinic,12,5.0,41.67
1262,Wholesale Florist,12,6.0,50.0
1263,Food,12,1.0,8.33
1264,Childrens Cafe,12,2.0,16.67
1265,Diabetes Equipment Supplier,12,3.0,25.0
1266,Custom Home Builder,12,,
1267,Music Box Store,12,1.0,8.33
1268,Japanese Confectionery Shop,12,,
1269,Sports Facility,12,3.0,25.0
1270,Hawaiian Goods Store,12,,
1271,Learning Center,12,3.0,25.0
1272,Yoga Instructor,12,,
1273,Dental,12,2.0,16.67
1274,Microbrewery,12,9.0,75.0
1275,Kebab Shop,12,8.0,66.67
1276,Spa And Health Club,12,6.0,50.0
1277,Asian Grocery Shop,12,8.0,66.67
1278,Cricket Shop,12,1.0,8.33
1279,Fishing Charter,12,1.0,8.33
1280,Auto Parts Manufacturer,12,,
1281,Pool Cleaning Service,12,1.0,8.33
1282,Legal Services,12,1.0,8.33
1283,Meat Wholesaler,11,7.0,63.64
1284,Ice Skating Rink,11,6.0,54.55
1285,Soup Shop,11,5.0,45.45
1286,Fabric Shop,11,9.0,81.82
1287,Portrait Studio,11,,
1288,Skateboard Park,11,5.0,45.45
1289,Batting Cage Center,11,1.0,9.09
1290,Basketball Court,11,6.0,54.55
1291,Lawn Care Service,11,,
1292,Wholesale Grocer,11,8.0,72.73
1293,Junk Store,11,,
1294,Wood And Laminate Flooring Supplier,11,,
1295,Electronics Vending Machine,11,,
1296,Home Improvement Shop,11,10.0,90.91
1297,Jeans Shop,11,1.0,9.09
1298,Ranch,11,,
1299,Ophthalmology Clinic,11,7.0,63.64
1300,Soft Drinks Shop,11,9.0,81.82
1301,Agricultural Service,11,2.0,18.18
1302,Swim Club,10,2.0,20.0
1303,Public School,10,,
1304,Gymnasium,10,1.0,10.0
1305,Computer Support And Services,10,3.0,30.0
1306,Hungarian Restaurant,10,5.0,50.0
1307,Winemaking Supply Store,10,,
1308,Fax Service,10,2.0,20.0
1309,Mirror Shop,10,1.0,10.0
1310,Entertainment And Recreation,10,2.0,20.0
1311,Pet Boarding Service,10,5.0,50.0
1312,Laboratory Equipment Supplier,10,2.0,20.0
1313,Hospice,10,2.0,20.0
1314,Pick Your Own Farm Produce,10,,
1315,Spice Shop,10,3.0,30.0
1316,Pediatric Cardiologist,10,1.0,10.0
1317,Drug Testing Service,10,,
1318,Eating Disorder Treatment Center,10,4.0,40.0
1319,Massage Spa,10,2.0,20.0
1320,Camp,10,,
1321,Organic Drug Store,10,,
1322,Biotechnology Company,10,,
1323,Volleyball Club,10,3.0,30.0
1324,Hotel,10,1.0,10.0
1325,Sofa Store,10,,
1326,Udon Noodle Restaurant,10,9.0,90.0
1327,Kitchen Supply Shop,10,,
1328,Trailer Manufacturer,10,,
1329,Computer Service,10,,
1330,Shipping Equipment Industry,10,1.0,10.0
1331,Wicker Store,10,,
1332,Employment Agency,10,1.0,10.0
1333,Art Handcraft,10,1.0,10.0
1334,Ukrainian Restaurant,10,7.0,70.0
1335,Belt Shop,10,2.0,20.0
1336,Health Insurance Agency,10,,
1337,Junkyard,10,6.0,60.0
1338,Plaza,10,2.0,20.0
1339,Animal Control Service,10,,
1340,Convenience Stores Organization,10,,
1341,Comedy Club,10,5.0,50.0
1342,Digital Printer,10,1.0,10.0
1343,Dance Company,9,1.0,11.11
1344,Yamaha Motorcycle Dealer,9,6.0,66.67
1345,Mini Dealer,9,7.0,77.78
1346,Tattoo Removal Service,9,2.0,22.22
1347,Auto Painting,9,4.0,44.44
1348,Association Or Organisation,9,,
1349,Produce Wholesaler,9,2.0,22.22
1350,Chilean Restaurant,9,7.0,77.78
1351,Costume Rental Service,9,4.0,44.44
1352,Recreational Vehicle Rental Agency,9,2.0,22.22
1353,South Asian Restaurant,9,7.0,77.78
1354,Strip Mall,9,9.0,100.0
1355,Pet Care Store,9,5.0,55.56
1356,Parkour Spot,9,9.0,100.0
1357,French Steakhouse Restaurant,9,6.0,66.67
1358,Toy And Game Manufacturer,9,,
1359,Auto Market,9,3.0,33.33
1360,Bar Tabac,9,2.0,22.22
1361,Basketball Club,9,2.0,22.22
1362,Hotel Supply Store,9,1.0,11.11
1363,Wood Floor Installation Service,9,,
1364,Decal Supplier,9,1.0,11.11
1365,Bulgarian Restaurant,9,4.0,44.44
1366,Chamber Of Commerce,9,,
1367,Telescope Store,9,1.0,11.11
1368,Blues Club,9,3.0,33.33
1369,Boot Repair Shop,9,2.0,22.22
1370,Czech Restaurant,9,7.0,77.78
