,_id,count,count_with_activity,ratio
149,Chocolate Shop,1193,295.0,24.73
150,Dessert Shop,1187,325.0,27.38
151,Musical Instrument Store,1180,3.0,0.25
152,Medical Equipment Supplier,1154,267.0,23.14
153,Internist,1150,289.0,25.13
154,Takeout Restaurant,1136,553.0,48.68
155,Music Store,1124,2.0,0.18
156,Orthodontist,1118,377.0,33.72
157,Korean Restaurant,1112,766.0,68.88
158,Muffler Shop,1109,496.0,44.72
159,Greek Restaurant,1104,777.0,70.38
160,Fashion Accessories Store,1099,66.0,6.01
161,Trophy Shop,1084,135.0,12.45
162,Boxing Gym,1078,225.0,20.87
163,Uniform Store,1061,324.0,30.54
164,Cannabis Store,1055,761.0,72.13
165,Lounge,1047,266.0,25.41
166,Pilates Studio,1044,83.0,7.95
167,Auto Machine Shop,1036,173.0,16.7
168,Wine Bar,1029,557.0,54.13
169,Window Treatment Store,1027,2.0,0.19
170,Used Tire Shop,1004,492.0,49.0
171,Sportswear Store,986,223.0,22.62
172,Auto Restoration Service,971,163.0,16.79
173,Greeting Card Shop,965,216.0,22.38
174,Salvadoran Restaurant,949,762.0,80.3
175,Carpet Store,932,157.0,16.85
176,Car Stereo Store,914,455.0,49.78
177,Asian Fusion Restaurant,912,570.0,62.5
178,Tile Store,904,384.0,42.48
179,Lingerie Store,878,233.0,26.54
180,Swimming Pool Supply Store,870,189.0,21.72
181,Wig Shop,856,57.0,6.66
182,Candy Store,855,209.0,24.44
183,Cuban Restaurant,850,627.0,73.76
184,Peruvian Restaurant,844,665.0,78.79
185,Physical Therapist,826,37.0,4.48
186,Jamaican Restaurant,812,558.0,68.72
187,Hat Shop,794,50.0,6.3
188,Motorcycle Repair Shop,785,142.0,18.09
189,Latin American Restaurant,775,520.0,67.1
190,Used Car Dealer,775,261.0,33.68
191,Pizza Delivery,774,552.0,71.32
192,Jeweler,770,86.0,11.17
193,Caribbean Restaurant,769,466.0,60.6
194,Gastropub,764,521.0,68.19
195,Baby Store,763,,
196,French Restaurant,762,494.0,64.83
197,Amusement Center,753,306.0,40.64
198,Moving Company,716,,
199,Window Tinting Service,709,,
200,Bubble Tea Store,706,423.0,59.92
201,Vegan Restaurant,698,458.0,65.62
202,Psychologist,696,,
203,Night Club,692,94.0,13.58
204,Vintage Clothing Store,691,44.0,6.37
205,Beer Store,689,386.0,56.02
206,Motorcycle Shop,681,175.0,25.7
207,Adult Entertainment Store,680,3.0,0.44
208,Perfume Store,676,49.0,7.25
209,Mobile Phone Repair Shop,676,6.0,0.89
210,Comic Book Store,675,377.0,55.85
211,Buffet Restaurant,672,436.0,64.88
212,Car Dealer,665,360.0,54.14
213,Brake Shop,655,188.0,28.7
214,Medical Office,655,224.0,34.2
215,Asian Grocery Store,653,474.0,72.59
216,Hobby Store,652,233.0,35.74
217,Custom T-shirt Store,647,62.0,9.58
218,Herb Shop,642,103.0,16.04
219,Bowling Alley,639,386.0,60.41
220,Gourmet Grocery Store,638,295.0,46.24
221,Outlet Store,635,304.0,47.87
