url,week_activity,week_volume,avg_day_volume
https://www.google.com/search?q=india%2Bcash%2B%26%2Bcarry+1032%2Be%2Bel%2Bcamino%2Breal%2C%2Bsunnyvale%2C%2Bca%2B94087%2C%2Busa,"[[0, 0, 0, 20, 40, 63, 81, 87, 81, 73, 74, 84, 88, 75, 0, 0, 0, 0], [0, 0, 0, 6, 15, 26, 36, 40, 36, 32, 36, 52, 69, 69, 0, 0, 0, 0], [0, 0, 0, 6, 11, 18, 24, 28, 30, 30, 30, 40, 58, 63, 0, 0, 0, 0], [0, 0, 0, 5, 12, 19, 27, 30, 30, 28, 31, 42, 53, 54, 0, 0, 0, 0], [0, 0, 0, 5, 11, 19, 26, 28, 26, 24, 30, 43, 57, 58, 0, 0, 0, 0], [0, 0, 0, 8, 16, 25, 30, 31, 30, 37, 51, 60, 70, 81, 0, 0, 0, 0], [0, 0, 0, 27, 54, 72, 76, 78, 79, 76, 77, 89, 100, 92, 0, 0, 0, 0]]",3438,44.64935064935065
https://www.google.com/search?q=carl%27s%2Bjr.+av.%2Brevoluci%C3%B3n%2B%231093%2C%2Bzona%2Bcentro%2C%2B22000%2Btijuana%2C%2Bb.c.%2C%2Bmexico,"[[0, 0, 6, 15, 29, 44, 56, 63, 70, 79, 83, 75, 68, 73, 73, 50, 0, 0], [0, 0, 13, 27, 42, 47, 46, 49, 59, 70, 72, 66, 60, 56, 50, 40, 0, 0], [0, 0, 10, 21, 28, 30, 40, 61, 72, 65, 59, 65, 72, 63, 40, 18, 0, 0], [0, 0, 14, 23, 30, 33, 40, 53, 63, 63, 59, 62, 68, 63, 46, 25, 0, 0], [0, 0, 10, 23, 34, 40, 45, 54, 63, 67, 70, 78, 85, 79, 58, 34, 0, 0], [0, 0, 11, 28, 38, 40, 50, 69, 82, 84, 79, 80, 89, 94, 82, 56, 0, 0], [0, 0, 7, 21, 42, 56, 61, 69, 86, 100, 99, 86, 77, 82, 86, 68, 0, 0]]",5329,54.377551020408156
https://www.google.com/search?q=costa%2Bmesa%2Bcountry%2Bclub+1701%2Bgolf%2Bcourse%2Bdr%2C%2Bcosta%2Bmesa%2C%2Bca%2B92626%2C%2Busa,"[[0, 14, 32, 43, 43, 57, 90, 100, 74, 49, 38, 0, 0, 0, 0, 0, 0, 0], [0, 14, 30, 29, 39, 52, 58, 54, 44, 32, 22, 0, 0, 0, 0, 0, 0, 0], [0, 10, 26, 25, 25, 37, 47, 51, 46, 35, 24, 0, 0, 0, 0, 0, 0, 0], [0, 8, 21, 30, 36, 47, 57, 54, 42, 27, 20, 0, 0, 0, 0, 0, 0, 0], [0, 5, 17, 33, 44, 50, 68, 85, 75, 44, 21, 0, 0, 0, 0, 0, 0, 0], [0, 15, 27, 43, 60, 74, 79, 75, 63, 48, 35, 0, 0, 0, 0, 0, 0, 0], [0, 22, 41, 45, 46, 60, 78, 84, 72, 51, 33, 0, 0, 0, 0, 0, 0, 0]]",3075,43.92857142857143
https://www.google.com/search?q=pizza%2Bhut+1047%2Bw%2Borangeburg%2Bave%2C%2Bmodesto%2C%2Bca%2B95350%2C%2Busa,"[[0, 0, 0, 5, 17, 34, 57, 65, 60, 54, 80, 100, 71, 48, 48, 42, 25, 0], [0, 0, 0, 5, 17, 20, 17, 34, 45, 25, 22, 42, 57, 51, 28, 11, 2, 0], [0, 0, 0, 5, 14, 31, 42, 48, 54, 62, 71, 77, 82, 82, 65, 40, 20, 0], [0, 0, 0, 8, 14, 22, 28, 34, 37, 40, 40, 45, 57, 68, 65, 42, 20, 0], [0, 0, 0, 5, 20, 25, 22, 31, 48, 60, 57, 57, 57, 57, 48, 31, 17, 0], [0, 0, 0, 2, 25, 51, 37, 34, 51, 65, 74, 80, 82, 80, 65, 42, 20, 8], [0, 0, 0, 5, 11, 14, 22, 28, 37, 42, 48, 57, 77, 88, 65, 37, 20, 11]]",4108,41.04897959183673
https://www.google.com/search?q=brake%2Bmasters+994%2Be%2Bmission%2Bblvd%2C%2Bpomona%2C%2Bca%2B91766%2C%2Busa,"[[0, 0, 89, 65, 55, 72, 79, 82, 86, 93, 86, 68, 0, 0, 0, 0, 0, 0], [0, 0, 37, 58, 65, 55, 44, 55, 79, 93, 75, 44, 0, 0, 0, 0, 0, 0], [0, 0, 34, 62, 65, 55, 58, 65, 65, 58, 44, 31, 0, 0, 0, 0, 0, 0], [0, 0, 51, 89, 48, 68, 65, 55, 62, 68, 58, 41, 0, 0, 0, 0, 0, 0], [0, 0, 58, 100, 68, 48, 62, 72, 79, 75, 65, 51, 0, 0, 0, 0, 0, 0], [0, 0, 72, 89, 86, 75, 75, 79, 72, 75, 68, 0, 0, 0, 0, 0, 0, 0], []]",3891,66.12962962962963
https://www.google.com/search?q=five%2Bguys+933%2Be%2Bhillsdale%2Bblvd%2C%2Bfoster%2Bcity%2C%2Bca%2B94404%2C%2Busa,"[[0, 0, 0, 0, 0, 14, 36, 53, 48, 37, 37, 40, 40, 33, 26, 21, 0, 0], [0, 0, 0, 0, 0, 48, 100, 54, 19, 25, 36, 42, 40, 32, 20, 10, 0, 0], [0, 0, 0, 0, 0, 32, 44, 39, 30, 28, 25, 22, 31, 40, 36, 19, 0, 0], [0, 0, 0, 0, 0, 27, 40, 43, 32, 21, 21, 31, 40, 39, 26, 13, 0, 0], [0, 0, 0, 0, 0, 38, 66, 65, 38, 13, 7, 30, 59, 42, 21, 10, 0, 0], [0, 0, 0, 0, 0, 40, 59, 60, 45, 28, 26, 44, 68, 75, 57, 30, 0, 0], [0, 0, 0, 0, 0, 26, 57, 48, 32, 37, 39, 39, 49, 55, 38, 15, 0, 0]]",2846,36.961038961038966
https://www.google.com/search?q=metro%2Bby%2Bt-mobile+10124%2Bs%2Bfigueroa%2Bst%2C%2Blos%2Bangeles%2C%2Bca%2B90003%2C%2Busa,"[[0, 0, 0, 0, 43, 78, 59, 64, 91, 100, 78, 43, 0, 0, 0, 0, 0, 0], [0, 0, 0, 16, 59, 78, 64, 67, 86, 94, 78, 48, 21, 0, 0, 0, 0, 0], [0, 0, 0, 21, 37, 48, 54, 48, 40, 40, 48, 51, 37, 0, 0, 0, 0, 0], [0, 0, 0, 2, 2, 24, 45, 51, 45, 43, 45, 43, 29, 0, 0, 0, 0, 0], [0, 0, 0, 16, 37, 48, 43, 37, 43, 51, 51, 43, 27, 0, 0, 0, 0, 0], [0, 0, 0, 16, 37, 56, 62, 62, 72, 81, 78, 56, 29, 0, 0, 0, 0, 0], [0, 0, 0, 27, 40, 56, 70, 81, 83, 78, 67, 51, 35, 0, 0, 0, 0, 0]]",3453,51.31428571428571
https://www.google.com/search?q=bamboo%2Bbistro+8516%2Bvan%2Bnuys%2Bblvd%2C%2Bpanorama%2Bcity%2C%2Bca%2B91402%2C%2Busa,"[[], [0, 0, 16, 35, 56, 67, 56, 40, 29, 29, 29, 29, 27, 21, 13, 0, 0, 0], [0, 0, 0, 0, 0, 13, 18, 21, 21, 18, 16, 13, 10, 8, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2, 21, 21, 8, 8, 13, 13, 13, 18, 35, 45, 32, 13], [0, 0, 0, 0, 0, 13, 16, 18, 16, 13, 16, 18, 27, 37, 45, 43, 32, 18], [], []]",1139,23.083333333333336
https://www.google.com/search?q=cvs%2Bpharmacy+1387%2Bw%2Bwhittier%2Bblvd%2C%2Bla%2Bhabra%2C%2Bca%2B90631%2C%2Busa,"[[0, 0, 0, 0, 46, 73, 76, 70, 74, 83, 81, 63, 41, 0, 0, 0, 0, 0], [0, 0, 3, 18, 50, 77, 73, 61, 68, 78, 72, 73, 91, 86, 51, 0, 0, 0], [0, 0, 13, 52, 72, 59, 72, 89, 85, 82, 90, 90, 71, 44, 20, 0, 0, 0], [0, 0, 10, 27, 46, 58, 54, 46, 49, 62, 72, 81, 85, 71, 39, 0, 0, 0], [0, 0, 13, 26, 42, 59, 70, 72, 68, 68, 81, 100, 99, 70, 34, 0, 0, 0], [0, 0, 9, 27, 54, 81, 99, 96, 84, 80, 90, 100, 89, 60, 29, 0, 0, 0], [0, 0, 9, 32, 65, 87, 84, 77, 79, 82, 81, 68, 51, 33, 18, 0, 0, 0]]",5413,62.44810744810745
https://www.google.com/search?q=trastevere+6801%2Bhollywood%2Bblvd%2B%23423%2C%2Blos%2Bangeles%2C%2Bca%2B90028%2C%2Busa,"[[0, 0, 0, 0, 0, 0, 4, 8, 20, 41, 62, 75, 75, 62, 50, 45, 0, 0], [0, 0, 0, 0, 0, 8, 12, 12, 16, 20, 29, 37, 45, 50, 41, 29, 0, 0], [0, 0, 0, 0, 0, 12, 16, 12, 8, 16, 29, 45, 54, 54, 37, 20, 0, 0], [0, 0, 0, 0, 0, 8, 12, 12, 8, 12, 29, 54, 70, 66, 45, 20, 0, 0], [0, 0, 0, 0, 0, 16, 29, 45, 45, 37, 33, 41, 58, 66, 58, 37, 20, 0], [0, 0, 0, 0, 0, 12, 12, 12, 16, 16, 20, 50, 87, 100, 75, 50, 29, 0], []]",2344,34.96767676767677
https://www.google.com/search?q=extreme%2Bbackyard%2Bdesigns+2330%2Bs%2Bvineyard%2Bave%2C%2Bontario%2C%2Bca%2B91761%2C%2Busa,"[[0, 0, 0, 0, 0, 85, 100, 100, 95, 90, 95, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 15, 25, 35, 40, 40, 35, 30, 30, 25, 0, 0, 0, 0, 0, 0], [0, 0, 0, 20, 30, 35, 35, 35, 40, 45, 45, 40, 0, 0, 0, 0, 0, 0], [0, 0, 0, 35, 55, 70, 80, 75, 60, 40, 30, 20, 0, 0, 0, 0, 0, 0], [0, 0, 0, 15, 25, 30, 35, 35, 35, 35, 30, 25, 0, 0, 0, 0, 0, 0], [0, 0, 0, 45, 70, 85, 90, 95, 95, 80, 60, 40, 0, 0, 0, 0, 0, 0], []]",2555,52.5462962962963
https://www.google.com/search?q=sopita%2Bramen%2Bhoover+2201%2Bw%2Bpico%2Bblvd%2B%23a%2C%2Blos%2Bangeles%2C%2Bca%2B90006%2C%2Busa,"[[0, 0, 0, 0, 0, 0, 47, 57, 35, 35, 45, 52, 83, 88, 35, 0, 0, 0], [0, 0, 0, 0, 0, 23, 42, 59, 64, 59, 59, 69, 76, 59, 28, 0, 0, 0], [0, 0, 0, 0, 0, 26, 42, 50, 45, 42, 52, 61, 57, 38, 16, 0, 0, 0], [0, 0, 0, 0, 0, 21, 38, 50, 45, 33, 30, 52, 78, 78, 50, 0, 0, 0], [0, 0, 0, 0, 0, 47, 73, 50, 26, 28, 40, 45, 42, 30, 19, 0, 0, 0], [0, 0, 0, 0, 0, 35, 45, 33, 23, 30, 42, 69, 95, 100, 76, 0, 0, 0], [0, 0, 0, 0, 0, 47, 66, 61, 47, 45, 54, 61, 59, 42, 23, 0, 0, 0]]",3372,48.92857142857143
