,week_volume,avg_day_volume
count,806.0,806.0
mean,3125.9032258064517,39.369598511591825
std,1423.0801038337474,11.949527524720281
min,17.0,2.4285714285714284
25%,2179.5,31.31978458049887
50%,2874.0,39.182096474953624
75%,3752.25,47.279017857142854
max,11855.0,70.9090909090909
