,week_volume,avg_day_volume
count,49.0,49.0
mean,3307.2448979591836,46.315239273262605
std,1388.6777963620082,13.552431758130378
min,1139.0,16.167641364846336
25%,2247.0,36.961038961038966
50%,3139.0,47.70571095571095
75%,4108.0,54.702380952380956
max,7951.0,76.97777777777777
