,week_volume,avg_day_volume
count,81.0,81.0
mean,3052.7654320987654,38.84158631926058
std,1468.821102718137,13.009296239773175
min,327.0,3.7142857142857144
25%,2084.0,31.228571428571428
50%,2801.0,38.5
75%,3698.0,46.34935064935065
max,7250.0,69.31547619047619
