Feed,Link,Latitude,Longitude,City,Scope,Topic,Tag
HuffingtonPost (Memphis),https://www.huffpost.com/topic/memphis/feed,35.1495,-90.0490,Memphis,Local,General,huffpost
HuffingtonPost (Louisville),https://www.huffpost.com/topic/louisville/feed,38.2527,-85.7585,Louisville,Local,General,huffpost
HuffingtonPost (New Orleans),https://www.huffpost.com/topic/new-orleans/feed,29.9511,-90.0715,New Orleans,Local,General,huffpost
HuffingtonPost (Salt Lake City),https://www.huffpost.com/topic/salt-lake-city/feed,40.7608,-111.8910,Salt Lake City,Local,General,huffpost
HuffingtonPost (Buffalo),https://www.huffpost.com/topic/buffalo/feed,42.8864,-78.8784,Buffalo,Local,General,huffpost
HuffingtonPost (Tucson),https://www.huffpost.com/topic/tucson/feed,32.2226,-110.9747,Tucson,Local,General,huffpost
HuffingtonPost (El paso),https://www.huffpost.com/topic/el-paso/feed,31.7619,-106.4850,El Paso,Local,General,huffpost
Reuters (Domestic News),http://feeds.reuters.com/Reuters/domesticNews,,,Nation,National,US,reuters
Yahoo (Finance/Top Stories),http://finance.yahoo.com/rss/topstories,,,Nation,National,Finance,yahoo
Yahoo (Finance/Most Viewed),http://finance.yahoo.com/rss/popularstories,,,Nation,National,Finance,yahoo
LA Times (Business),https://www.latimes.com/business/rss2.0.xml#nt=1col-7030col1,34.0522,-118.2437,,Regional,Business,latimes
LA Times (California),https://www.latimes.com/california/rss2.0.xml,34.0522,-118.2437,,Regional,General,latimes
LA Times (Orange County),https://www.latimes.com/california/orange-county/rss2.0.xml,33.7175,-117.8311,,Regional,General,latimes
LA Daily (Local),https://www.dailynews.com/feed/,34.0522,-118.2437,Los Angeles,Local,General,ladaily
The Real Deal (Los Angeles),https://therealdeal.com/la/feed/,34.0522,-118.2437,Los Angeles,Local,"Real Estate, Retail",therealdeal
Curbed (Los Angeles),https://la.curbed.com/rss/index.xml,34.0522,-118.2437,Los Angeles,Local,"Real Estate, Retail",curbed
LA Biz News (Los Angeles),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3254?market=losangeles&selectortype=channel&selectorvalue=2,17,12,16",34.0522,-118.2437,Los Angeles,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (Dallas),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3255?market=dallas&selectortype=channel&selectorvalue=2,17,12,16",32.7767,-96.7970,Dallas,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (Milwaukee),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3257?market=milwaukee&selectortype=channel&selectorvalue=2,17,12,16",43.0389,-87.9065,Milwaukee,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (Charlotte),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3258?market=charlotte&selectortype=channel&selectorvalue=2,17,12,16",35.2271,-80.8431,Charlotte,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (Tampa),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3259?market=tampabay&selectortype=channel&selectorvalue=2,17,12,16",27.9506,-82.4572,Tampa,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (Albuquerque),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3260?market=albuquerque&selectortype=channel&selectorvalue=2,17,12,16",35.0844,-106.6504,Albuquerque,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (Chicago),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3261?market=chicago&selectortype=channel&selectorvalue=2,17,12,16",41.8781,-87.6298,Chicago,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (Houston),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3263?market=houston&selectortype=channel&selectorvalue=2,17,12,16",29.7604,-95.3698,Houston,Local,"Real Estate, Retail, Travel",labiznews
