,msa,lat,lng
88,"Baton Rouge, LA Metropolitan Area north west",30.574768475913825,-91.27672742411045
89,"Baton Rouge, LA Metropolitan Area south east",30.350486524086183,-90.95967057588953
90,"Worcester, MA Metropolitan Area center",42.2753197,-71.807738
91,"Worcester, MA Metropolitan Area north west",42.32345154603744,-71.87577972729606
92,"Worcester, MA Metropolitan Area south east",42.227187853962555,-71.73969627270394
93,Oxnard Metropolitan Area center,34.23424119999999,-119.2075929
94,Oxnard Metropolitan Area north west,34.288020919042324,-119.28361875976633
95,Oxnard Metropolitan Area south east,34.18046148095766,-119.13156704023366
96,Bridgeport Metropolitan Area center,41.184746000000004,-73.1990064
97,Bridgeport Metropolitan Area north west,41.20922399251815,-73.2336097869214
98,Bridgeport Metropolitan Area south east,41.16026800748186,-73.1644030130786
99,Allentown Metropolitan Area center,40.608040499999994,-75.39412164999999
100,Allentown Metropolitan Area north west,40.706809793481135,-75.53374715547179
101,Allentown Metropolitan Area south east,40.509271206518854,-75.25449614452819
102,"Columbia, SC Metropolitan Area center",34.0586212,-81.02506955
103,"Columbia, SC Metropolitan Area north west",34.16640447465269,-81.17743769676275
104,"Columbia, SC Metropolitan Area south east",33.95083792534731,-80.87270140323724
105,"Oklahoma City, OK Metropolitan Area center",35.4229415,-97.46627899999999
106,"Oklahoma City, OK Metropolitan Area north west",35.8470131746218,-98.06576918402818
107,"Oklahoma City, OK Metropolitan Area south east",34.9988698253782,-96.86678881597179
108,"El Paso, TX Metropolitan Area center",31.812553099999995,-106.4090573
109,"El Paso, TX Metropolitan Area north west",32.033665085221614,-106.72163291550076
110,"El Paso, TX Metropolitan Area south east",31.591441114778377,-106.09648168449924
111,Cape Coral Metropolitan Area center,26.647604949999998,-81.99571845
112,Cape Coral Metropolitan Area north west,26.76388595043571,-82.16009943208836
113,Cape Coral Metropolitan Area south east,26.531323949564285,-81.83133746791164
114,"Stockton, CA Metropolitan Area center",37.96462755,-121.29785825
115,"Stockton, CA Metropolitan Area north west",38.01591235347763,-121.37035716495836
116,"Stockton, CA Metropolitan Area south east",37.913342746522375,-121.22535933504165
117,Little Rock Metropolitan Area center,34.754393099999994,-92.311518
118,Little Rock Metropolitan Area north west,34.86128365746304,-92.46262415445267
119,Little Rock Metropolitan Area south east,34.64750254253695,-92.16041184554734
120,Charleston Metropolitan Area center,35.61342555,-79.8379179
121,Charleston Metropolitan Area north west,38.99795794505224,-84.6224721859442
122,Charleston Metropolitan Area south east,32.22889315494776,-75.05336361405578
123,"Colorado Springs, CO Metropolitan Area center",38.8497845,-104.76716195
