category,terminal_category_name,terminal_category_count,insemble_category_name,insemble_category_count,diff
thai restaurant,thai restaurant,303.0,thai restaurant,331.0,28
burrito place,,,burrito place,28.0,28
recording studio,,,recording studio,27.0,27
laundry service,,,laundry service,26.0,26
pub,pub,6.0,pub,32.0,26
lounge,lounge,5.0,lounge,31.0,26
tea room,,,tea room,25.0,25
buffet,,,buffet,25.0,25
nail salon,,,nail salon,25.0,25
wine shop,wine shop,4.0,wine shop,29.0,25
arcade,,,arcade,25.0,25
shopping plaza,,,shopping plaza,24.0,24
shopping mall,shopping mall,36.0,shopping mall,60.0,24
pet service,,,pet service,24.0,24
cajun / creole restaurant,creole restaurant,8.0,cajun / creole restaurant,31.0,23
bridal shop,bridal shop,5.0,bridal shop,28.0,23
creole restaurant,creole restaurant,8.0,cajun / creole restaurant,31.0,23
board shop,,,board shop,23.0,23
gym / fitness center,,,gym / fitness center,23.0,23
fabric shop,,,fabric shop,21.0,21
brewery,brewery,6.0,brewery,27.0,21
food stand,,,food stand,21.0,21
donburi restaurant,,,donburi restaurant,21.0,21
yoga studio,,,yoga studio,21.0,21
post office,,,post office,20.0,20
music school,music school,3.0,music school,23.0,20
music store,music store,49.0,music store,69.0,20
tech startup,,,tech startup,19.0,19
gastropub,gastropub,46.0,gastropub,65.0,19
elementary school,,,elementary school,19.0,19
caribbean restaurant,caribbean restaurant,8.0,caribbean restaurant,27.0,19
mediterranean restaurant,mediterranean restaurant,205.0,mediterranean restaurant,223.0,18
auto garage,,,auto garage,18.0,18
bowling alley,bowling alley,1.0,bowling alley,19.0,18
record shop,,,record shop,18.0,18
photography lab,,,photography lab,18.0,18
motorcycle shop,motorcycle shop,1.0,motorcycle shop,19.0,18
hotel bar,,,hotel bar,17.0,17
shop & service,,,shop & service,17.0,17
eye doctor,,,eye doctor,17.0,17
lawyer,,,lawyer,17.0,17
auto workshop,,,auto workshop,17.0,17
sports bar,sports bar,17.0,sports bar,33.0,16
gym,,,gym,16.0,16
chiropractor,chiropractor,1.0,chiropractor,17.0,16
french restaurant,french restaurant,51.0,french restaurant,67.0,16
gourmet shop,,,gourmet shop,15.0,15
dive bar,,,dive bar,15.0,15
indian restaurant,indian restaurant,119.0,indian restaurant,134.0,15
farmers market,,,farmers market,15.0,15
tailor shop,,,tailor shop,14.0,14
professional & other places,,,professional & other places,14.0,14
comfort food restaurant,,,comfort food restaurant,14.0,14
veterinarian,,,veterinarian,13.0,13
hookah bar,hookah bar,3.0,hookah bar,16.0,13
nightlife spot,,,nightlife spot,13.0,13
moving target,,,moving target,13.0,13
comic shop,,,comic shop,13.0,13
vietnamese restaurant,vietnamese restaurant,111.0,vietnamese restaurant,124.0,13
speakeasy,,,speakeasy,13.0,13
school,,,school,13.0,13
garden center,garden center,8.0,garden center,21.0,13
frame store,,,frame store,13.0,13
business center,business center,4.0,business center,17.0,13
falafel restaurant,falafel restaurant,3.0,falafel restaurant,15.0,12
distribution center,,,distribution center,12.0,12
advertising agency,,,advertising agency,12.0,12
car wash,,,car wash,12.0,12
karaoke bar,karaoke bar,1.0,karaoke bar,13.0,12
warehouse,warehouse,1.0,warehouse,13.0,12
college bookstore,,,college bookstore,12.0,12
high school,,,high school,11.0,11
fish & chips shop,,,fish & chips shop,11.0,11
hospital,,,hospital,11.0,11
golf course,golf course,1.0,golf course,12.0,11
rental car location,,,rental car location,11.0,11
beer garden,beer garden,3.0,beer garden,14.0,11
cupcake shop,,,cupcake shop,11.0,11
parking,,,parking,11.0,11
performing arts venue,,,performing arts venue,11.0,11
it services,,,it services,11.0,11
dance studio,,,dance studio,11.0,11
real estate office,,,real estate office,11.0,11
acupuncturist,,,acupuncturist,10.0,10
food service,,,food service,10.0,10
pawn shop,pawn shop,1.0,pawn shop,11.0,10
watch shop,,,watch shop,10.0,10
smoothie shop,,,smoothie shop,10.0,10
movie theater,movie theater,2.0,movie theater,12.0,10
government building,,,government building,10.0,10
museum,museum,1.0,museum,10.0,9
creperie,,,creperie,9.0,9
garden,,,garden,9.0,9
concert hall,concert hall,1.0,concert hall,10.0,9
playground,,,playground,9.0,9
credit union,,,credit union,9.0,9
nightclub,night club,3.0,nightclub,12.0,9
night club,night club,3.0,nightclub,12.0,9
newsstand,,,newsstand,9.0,9
bus line,,,bus line,8.0,8
dumpling restaurant,dumpling restaurant,6.0,dumpling restaurant,14.0,8
martial arts dojo,,,martial arts dojo,8.0,8
college cafeteria,,,college cafeteria,8.0,8
vape store,,,vape store,8.0,8
other great outdoors,,,other great outdoors,8.0,8
student center,,,student center,8.0,8
costume shop,,,costume shop,8.0,8
university,university,1.0,university,9.0,8
park,,,park,8.0,8
general college & university,,,general college & university,8.0,8
insurance office,,,insurance office,8.0,8
locksmith,,,locksmith,8.0,8
ramen restaurant,ramen restaurant,73.0,ramen restaurant,81.0,8
spiritual center,,,spiritual center,8.0,8
perfume shop,,,perfume shop,8.0,8
event service,,,event service,7.0,7
szechuan restaurant,,,szechuan restaurant,7.0,7
medical school,,,medical school,7.0,7
cheese shop,cheese shop,2.0,cheese shop,9.0,7
historic site,,,historic site,7.0,7
dry cleaner,,,dry cleaner,7.0,7
transportation service,,,transportation service,7.0,7
beer bar,,,beer bar,7.0,7
sake bar,,,sake bar,6.0,6
dim sum restaurant,dim sum restaurant,9.0,dim sum restaurant,15.0,6
cafeteria,cafeteria,2.0,cafeteria,8.0,6
south african restaurant,south african restaurant,1.0,african restaurant,7.0,6
funeral home,,,funeral home,6.0,6
other nightlife,,,other nightlife,6.0,6
urgent care center,,,urgent care center,6.0,6
trade school,,,trade school,6.0,6
non-profit,,,non-profit,6.0,6
outdoor supply store,,,outdoor supply store,6.0,6
astrologer,,,astrologer,6.0,6
general travel,,,general travel,6.0,6
north african restaurant,north african restaurant,1.0,african restaurant,7.0,6
athletics & sports,,,athletics & sports,6.0,6
adult boutique,,,adult boutique,6.0,6
courthouse,,,courthouse,5.0,5
bike rental / bike share,,,bike rental / bike share,5.0,5
flea market,flea market,2.0,flea market,7.0,5
college classroom,,,college classroom,5.0,5
conference room,,,conference room,5.0,5
surf spot,,,surf spot,5.0,5
eastern european restaurant,european restaurant,2.0,eastern european restaurant,7.0,5
laundromat,,,laundromat,5.0,5
farm,,,farm,5.0,5
monument / landmark,,,monument / landmark,5.0,5
strip club,,,strip club,5.0,5
himalayan restaurant,,,himalayan restaurant,5.0,5
european restaurant,european restaurant,2.0,eastern european restaurant,7.0,5
soup place,,,soup place,5.0,5
east african restaurant,east african restaurant,2.0,african restaurant,7.0,5
kebab restaurant,,,kebab restaurant,5.0,5
west african restaurant,west african restaurant,3.0,african restaurant,7.0,4
mongolian barbecue restaurant,mongolian barbecue restaurant,5.0,mongolian restaurant,9.0,4
herbs & spices store,,,herbs & spices store,4.0,4
mongolian restaurant,mongolian barbecue restaurant,5.0,mongolian restaurant,9.0,4
nursery school,,,nursery school,4.0,4
dog run,,,dog run,4.0,4
african restaurant,african restaurant,3.0,african restaurant,7.0,4
film studio,,,film studio,4.0,4
gay bar,,,gay bar,4.0,4
udon noodle restaurant,udon noodle restaurant,2.0,udon restaurant,6.0,4
udon restaurant,udon noodle restaurant,2.0,udon restaurant,6.0,4
organic grocery,,,organic grocery,4.0,4
mental health office,,,mental health office,4.0,4
theme restaurant,,,theme restaurant,4.0,4
rock club,,,rock club,4.0,4
photography studio,,,photography studio,4.0,4
currency exchange,,,currency exchange,4.0,4
pop-up shop,,,pop-up shop,4.0,4
pool,,,pool,4.0,4
massage studio,,,massage studio,4.0,4
pie shop,,,pie shop,4.0,4
library,,,library,4.0,4
baseball field,,,baseball field,3.0,3
airport terminal,,,airport terminal,3.0,3
daycare,,,daycare,3.0,3
doner restaurant,,,doner restaurant,3.0,3
souvenir shop,,,souvenir shop,3.0,3
winery,winery,1.0,winery,4.0,3
entertainment service,,,entertainment service,3.0,3
skate park,,,skate park,3.0,3
temple,,,temple,3.0,3
beach,,,beach,3.0,3
shanghai restaurant,,,shanghai restaurant,3.0,3
chocolate shop,chocolate shop,3.0,chocolate shop,6.0,3
jazz club,jazz club,2.0,jazz club,5.0,3
casino,,,casino,3.0,3
airport service,,,airport service,3.0,3
atm,,,atm,3.0,3
greek restaurant,greek restaurant,31.0,greek restaurant,34.0,3
college administrative building,,,college administrative building,3.0,3
empanada restaurant,,,empanada restaurant,3.0,3
plaza,,,plaza,3.0,3
alternative healer,,,alternative healer,3.0,3
rest area,,,rest area,3.0,3
convention center,,,convention center,3.0,3
skating rink,,,skating rink,3.0,3
tennis court,,,tennis court,3.0,3
cuban restaurant,cuban restaurant,22.0,cuban restaurant,25.0,3
fish market,,,fish market,3.0,3
motel,,,motel,3.0,3
arts & entertainment,,,arts & entertainment,3.0,3
pilates studio,,,pilates studio,3.0,3
theme park ride / attraction,,,theme park ride / attraction,3.0,3
bridge,,,bridge,3.0,3
gaming cafe,,,gaming cafe,3.0,3
roof deck,,,roof deck,2.0,2
indonesian restaurant,indonesian restaurant,5.0,indonesian restaurant,7.0,2
college academic building,,,college academic building,2.0,2
tv station,,,tv station,2.0,2
piercing parlor,,,piercing parlor,2.0,2
gymnastics gym,,,gymnastics gym,2.0,2
gun range,,,gun range,2.0,2
history museum,,,history museum,2.0,2
bed & breakfast,,,bed & breakfast,2.0,2
tanning salon,,,tanning salon,2.0,2
pool hall,pool hall,1.0,pool hall,3.0,2
spanish restaurant,spanish restaurant,12.0,spanish restaurant,14.0,2
college residence hall,,,college residence hall,2.0,2
multiplex,,,multiplex,2.0,2
sculpture garden,,,sculpture garden,2.0,2
music festival,,,music festival,2.0,2
beach bar,,,beach bar,2.0,2
harbor / marina,,,harbor / marina,2.0,2
dongbei restaurant,,,dongbei restaurant,2.0,2
paella restaurant,,,paella restaurant,2.0,2
bay,,,bay,2.0,2
campground,,,campground,2.0,2
recycling facility,,,recycling facility,2.0,2
tapas restaurant,tapas restaurant,2.0,tapas restaurant,4.0,2
cultural center,,,cultural center,2.0,2
knitting store,,,knitting store,2.0,2
irish pub,irish pub,8.0,irish pub,10.0,2
australian restaurant,australian restaurant,2.0,australian restaurant,4.0,2
english restaurant,english restaurant,3.0,english restaurant,5.0,2
pier,,,pier,2.0,2
river,,,river,2.0,2
scenic lookout,,,scenic lookout,2.0,2
art museum,art museum,1.0,art museum,3.0,2
pedestrian plaza,,,pedestrian plaza,2.0,2
street food gathering,,,street food gathering,2.0,2
art studio,,,art studio,2.0,2
theater,theater,2.0,theater,4.0,2
pastry shop,,,pastry shop,1.0,1
yoshoku restaurant,,,yoshoku restaurant,1.0,1
boat rental,,,boat rental,1.0,1
police station,,,police station,1.0,1
hunting supply,,,hunting supply,1.0,1
hostel,,,hostel,1.0,1
college quad,,,college quad,1.0,1
internet cafe,,,internet cafe,1.0,1
piano bar,,,piano bar,1.0,1
corporate coffee shop,,,corporate coffee shop,1.0,1
boat or ferry,,,boat or ferry,1.0,1
waterfall,,,waterfall,1.0,1
fire station,,,fire station,1.0,1
cha chaan teng,,,cha chaan teng,1.0,1
paintball field,,,paintball field,1.0,1
private school,,,private school,1.0,1
candy store,candy store,35.0,candy store,36.0,1
racetrack,,,racetrack,1.0,1
cable car,,,cable car,1.0,1
other event,,,other event,1.0,1
baseball stadium,,,baseball stadium,1.0,1
trail,,,trail,1.0,1
law school,,,law school,1.0,1
portuguese restaurant,,,portuguese restaurant,1.0,1
weight loss center,,,weight loss center,1.0,1
college basketball court,,,college basketball court,1.0,1
corporate cafeteria,,,corporate cafeteria,1.0,1
german restaurant,german restaurant,8.0,german restaurant,9.0,1
distillery,,,distillery,1.0,1
recruiting agency,,,recruiting agency,1.0,1
social club,,,social club,1.0,1
dive spot,,,dive spot,1.0,1
emergency room,,,emergency room,1.0,1
comedy club,,,comedy club,1.0,1
mosque,,,mosque,1.0,1
shabu-shabu restaurant,shabu-shabu restaurant,6.0,shabu-shabu restaurant,7.0,1
aquarium,,,aquarium,1.0,1
middle school,,,middle school,1.0,1
churrascaria,,,churrascaria,1.0,1
fountain,,,fountain,1.0,1
soccer field,,,soccer field,1.0,1
floating market,,,floating market,1.0,1
cemetery,,,cemetery,1.0,1
notary,,,notary,1.0,1
