category,terminal_category_name,terminal_category_count,insemble_category_name,insemble_category_count,diff
couture store,couture store,1.0,,,-1
computer accessories store,computer accessories store,1.0,,,-1
antique furniture restoration service,antique furniture restoration service,1.0,,,-1
handbags shop,handbags shop,1.0,,,-1
goldsmith,goldsmith,1.0,,,-1
mutton barbecue restaurant,mutton barbecue restaurant,1.0,,,-1
pet groomer,pet groomer,1.0,,,-1
rainwater tank supplier,rainwater tank supplier,1.0,,,-1
kosher food shop,kosher food shop,1.0,,,-1
talent agency,talent agency,1.0,,,-1
mexican goods shop,mexican goods shop,1.0,,,-1
fashion designer,fashion designer,1.0,,,-1
gold dealer,gold dealer,1.0,,,-1
bicycle shop,bicycle shop,1.0,,,-1
romanian restaurant,romanian restaurant,1.0,,,-1
cantonese restaurant,cantonese restaurant,7.0,cantonese restaurant,6.0,-1
electrical wholesaler,electrical wholesaler,1.0,,,-1
make-up artist,make-up artist,1.0,,,-1
brazilian restaurant,brazilian restaurant,24.0,brazilian restaurant,23.0,-1
burmese restaurant,burmese restaurant,3.0,burmese restaurant,2.0,-1
furniture rental service,furniture rental service,1.0,,,-1
medical office,medical office,1.0,,,-1
optician,optician,1.0,,,-1
childrens cafe,childrens cafe,1.0,,,-1
raw food restaurant,raw food restaurant,1.0,,,-1
go-kart track,go-kart track,1.0,,,-1
student housing center,student housing center,1.0,,,-1
publisher,publisher,1.0,,,-1
video karaoke,video karaoke,1.0,,,-1
tonkatsu restaurant,tonkatsu restaurant,1.0,,,-1
shop supermarket furniture store,shop supermarket furniture store,1.0,,,-1
window installation service,window installation service,1.0,,,-1
handicraft,handicraft,1.0,,,-1
burrito restaurant,burrito restaurant,1.0,,,-1
fashion accessories store,fashion accessories store,82.0,accessories store,81.0,-1
furniture accessories,furniture accessories,1.0,,,-1
chinese medicine store,chinese medicine store,1.0,,,-1
church supply store,church supply store,1.0,,,-1
russian restaurant,russian restaurant,9.0,russian restaurant,7.0,-2
sign shop,sign shop,2.0,,,-2
natural foods shop,natural foods shop,2.0,,,-2
syrian restaurant,syrian restaurant,2.0,,,-2
sukiyaki and shabu shabu restaurant,sukiyaki and shabu shabu restaurant,2.0,,,-2
italian grocery store,italian grocery store,2.0,,,-2
mandarin restaurant,mandarin restaurant,2.0,,,-2
surgical supply store,surgical supply store,2.0,,,-2
pound shop,pound shop,2.0,,,-2
shipping company,shipping company,2.0,,,-2
shelving store,shelving store,2.0,,,-2
association or organization,association or organization,2.0,,,-2
malaysian restaurant,malaysian restaurant,2.0,,,-2
cambodian restaurant,cambodian restaurant,2.0,,,-2
beauty salon,beauty salon,2.0,,,-2
kitchen furniture store,kitchen furniture store,2.0,,,-2
southern italian restaurant,southern italian restaurant,2.0,,,-2
bicycle repair shop,bicycle repair shop,2.0,,,-2
model train store,model train store,2.0,,,-2
audio visual equipment supplier,audio visual equipment supplier,2.0,,,-2
organic shop,organic shop,2.0,,,-2
tofu restaurant,tofu restaurant,2.0,,,-2
bangladeshi restaurant,bangladeshi restaurant,2.0,,,-2
professional services,professional services,2.0,,,-2
bathroom remodeler,bathroom remodeler,2.0,,,-2
puerto rican restaurant,puerto rican restaurant,2.0,,,-2
poster store,poster store,2.0,,,-2
skateboard shop,skateboard shop,2.0,,,-2
toyota dealer,toyota dealer,2.0,,,-2
university department,university department,2.0,,,-2
car repair and maintenance,car repair and maintenance,2.0,,,-2
oaxacan restaurant,oaxacan restaurant,2.0,,,-2
rv supply store,rv supply store,2.0,,,-2
chilean restaurant,chilean restaurant,2.0,,,-2
fence supply store,fence supply store,2.0,,,-2
bar restaurant furniture store,bar restaurant furniture store,2.0,,,-2
unfinished furniture store,unfinished furniture store,2.0,,,-2
appliance repair service,appliance repair service,2.0,,,-2
okonomiyaki restaurant,okonomiyaki restaurant,2.0,,,-2
tapas bar,tapas bar,2.0,,,-2
grocery delivery service,grocery delivery service,2.0,,,-2
needlework shop,needlework shop,2.0,,,-2
tile contractor,tile contractor,2.0,,,-2
mexican grocers,mexican grocers,2.0,,,-2
irish restaurant,irish restaurant,2.0,,,-2
sports memorabilia store,sports memorabilia store,2.0,,,-2
airport,airport,4.0,airport,2.0,-2
kebab shop,kebab shop,2.0,,,-2
dinner theater,dinner theater,2.0,,,-2
small plates restaurant,small plates restaurant,2.0,,,-2
yakitori restaurant,yakitori restaurant,2.0,,,-2
sofa store,sofa store,2.0,,,-2
trophy shop,trophy shop,2.0,,,-2
garden furniture shop,garden furniture shop,2.0,,,-2
apartment complex,apartment complex,2.0,,,-2
singaporean restaurant,singaporean restaurant,2.0,,,-2
sewing shop,sewing shop,2.0,,,-2
electric motor store,electric motor store,2.0,,,-2
festival,festival,2.0,,,-2
embroidery shop,embroidery shop,2.0,,,-2
sundae restaurant,sundae restaurant,2.0,,,-2
racing car parts store,racing car parts store,2.0,,,-2
modern izakaya restaurants,modern izakaya restaurants,2.0,,,-2
fabric product manufacturer,fabric product manufacturer,2.0,,,-2
cd store,cd store,2.0,,,-2
refrigerator store,refrigerator store,2.0,,,-2
wheelchair store,wheelchair store,2.0,,,-2
bistro,bistro,14.0,bistro,12.0,-2
rustic furniture store,rustic furniture store,2.0,,,-2
halal restaurant,halal restaurant,16.0,halal restaurant,14.0,-2
motorsports store,motorsports store,2.0,,,-2
auto repair shop,auto repair shop,2.0,,,-2
industrial equipment supplier,industrial equipment supplier,2.0,,,-2
chinese takeaway,chinese takeaway,2.0,,,-2
upholstery shop,upholstery shop,3.0,,,-3
herb shop,herb shop,3.0,,,-3
delivery chinese restaurant,delivery chinese restaurant,3.0,,,-3
tea store,tea store,3.0,,,-3
dessert restaurant,dessert restaurant,3.0,,,-3
popcorn store,popcorn store,3.0,,,-3
cutlery store,cutlery store,3.0,,,-3
fusion restaurant,fusion restaurant,3.0,,,-3
e-commerce service,e-commerce service,3.0,,,-3
skate shop,skate shop,4.0,skate shop,1.0,-3
hearing aid store,hearing aid store,3.0,,,-3
continental restaurant,continental restaurant,3.0,,,-3
belgian restaurant,belgian restaurant,3.0,,,-3
yakiniku restaurant,yakiniku restaurant,3.0,,,-3
tack shop,tack shop,3.0,,,-3
fried chicken takeaway,fried chicken takeaway,3.0,,,-3
hotpot restaurant,hot pot restaurant,11.0,hotpot restaurant,8.0,-3
baking supply store,baking supply store,3.0,,,-3
map store,map store,3.0,,,-3
cigar shop,cigar shop,3.0,,,-3
hot pot restaurant,hot pot restaurant,11.0,hotpot restaurant,8.0,-3
scrapbooking store,scrapbooking store,3.0,,,-3
drum store,drum store,3.0,,,-3
native american goods store,native american goods store,3.0,,,-3
aquarium shop,aquarium shop,3.0,,,-3
used auto parts store,used auto parts store,3.0,,,-3
stores and shopping,stores and shopping,3.0,,,-3
hot dog stand,hot dog stand,3.0,,,-3
british restaurant,british restaurant,3.0,,,-3
greeting card shop,greeting card shop,3.0,,,-3
cell phone accessory store,cell phone accessory store,3.0,,,-3
rice restaurant,rice restaurant,3.0,,,-3
ecuadorian restaurant,ecuadorian restaurant,3.0,,,-3
gun shop,gun shop,9.0,gun shop,6.0,-3
used office furniture store,used office furniture store,3.0,,,-3
coffee store,coffee store,3.0,,,-3
food products supplier,food products supplier,3.0,,,-3
airsoft supply store,airsoft supply store,3.0,,,-3
billiards supply store,billiards supply store,3.0,,,-3
crêperie,crêperie,3.0,,,-3
tex-mex restaurant,tex-mex restaurant,14.0,tex-mex restaurant,10.0,-4
ethiopian restaurant,ethiopian restaurant,15.0,ethiopian restaurant,11.0,-4
lawn mower store,lawn mower store,4.0,,,-4
oyster bar restaurant,oyster bar restaurant,4.0,,,-4
noodle shop,noodle shop,4.0,,,-4
gift wrap store,gift wrap store,4.0,,,-4
rare book store,rare book store,4.0,,,-4
magic store,magic store,4.0,,,-4
brewing supply store,brewing supply store,4.0,,,-4
event venue,event venue,4.0,,,-4
golf shop,golf shop,4.0,,,-4
massage supply store,massage supply store,4.0,,,-4
reptile store,reptile store,4.0,,,-4
formal wear store,formal wear store,4.0,,,-4
oriental rug store,oriental rug store,4.0,,,-4
manufacturer,manufacturer,4.0,,,-4
battery store,battery store,4.0,,,-4
interior designer,interior designer,4.0,,,-4
israeli restaurant,israeli restaurant,4.0,,,-4
screen printing supply store,screen printing supply store,4.0,,,-4
sichuan restaurant,sichuan restaurant,4.0,,,-4
dvd store,dvd store,4.0,,,-4
dairy store,dairy store,4.0,,,-4
dj supply store,dj supply store,4.0,,,-4
produce market,produce market,4.0,,,-4
chemist,chemist,4.0,,,-4
moving supply store,moving supply store,4.0,,,-4
pizza takeout,pizza takeout,4.0,,,-4
pretzel store,pretzel store,4.0,,,-4
modern european restaurant,modern european restaurant,7.0,modern european restaurant,3.0,-4
caterer,caterer,4.0,,,-4
shanghainese restaurant,shanghainese restaurant,4.0,,,-4
wholesaler,wholesaler,5.0,,,-5
doll store,doll store,5.0,,,-5
hot tub store,hot tub store,5.0,,,-5
barber supply store,barber supply store,5.0,,,-5
charity shop,charity shop,5.0,,,-5
woodworking supply store,woodworking supply store,5.0,,,-5
nut store,nut store,5.0,,,-5
florist,florist,5.0,,,-5
bird shop,bird shop,5.0,,,-5
bubble tea store,bubble tea store,5.0,,,-5
aromatherapy supply store,aromatherapy supply store,5.0,,,-5
futon store,futon store,5.0,,,-5
banner store,banner store,5.0,,,-5
down home cooking restaurant,down home cooking restaurant,5.0,,,-5
school supply store,school supply store,5.0,,,-5
surf shop,surf shop,5.0,,,-5
nicaraguan restaurant,nicaraguan restaurant,5.0,,,-5
childrens store,childrens store,5.0,,,-5
miniatures store,miniatures store,5.0,,,-5
picture frame shop,picture frame shop,6.0,,,-6
tennis store,tennis store,6.0,,,-6
grill store,grill store,6.0,,,-6
delivery restaurant,delivery restaurant,6.0,,,-6
butcher shop,butcher shop,6.0,,,-6
police supply store,police supply store,6.0,,,-6
izakaya restaurant,izakaya restaurant,6.0,,,-6
hong kong style fast food restaurant,hong kong style fast food restaurant,6.0,,,-6
food store,food store,6.0,,,-6
camping store,camping store,6.0,,,-6
seafood market,seafood market,6.0,,,-6
corporate office,corporate office,6.0,,,-6
banquet hall,banquet hall,6.0,,,-6
work clothes store,work clothes store,6.0,,,-6
conveyor belt sushi restaurant,conveyor belt sushi restaurant,7.0,,,-7
lunch restaurant,lunch restaurant,7.0,,,-7
southeast asian restaurant,southeast asian restaurant,7.0,,,-7
trading card store,trading card store,7.0,,,-7
grill,grill,7.0,,,-7
christmas store,christmas store,7.0,,,-7
sports card store,sports card store,7.0,,,-7
educational supply store,educational supply store,7.0,,,-7
car battery store,car battery store,7.0,,,-7
burglar alarm store,burglar alarm store,7.0,,,-7
health and beauty shop,health and beauty shop,7.0,,,-7
northern italian restaurant,northern italian restaurant,7.0,,,-7
wig shop,wig shop,7.0,,,-7
mall,mall,7.0,,,-7
authentic japanese restaurant,authentic japanese restaurant,7.0,,,-7
landscaping supply store,landscaping supply store,7.0,,,-7
welding supply store,welding supply store,7.0,,,-7
dental supply store,dental supply store,7.0,,,-7
mexican goods store,mexican goods store,7.0,,,-7
motorcycle parts store,motorcycle parts store,7.0,,,-7
photo shop,photo shop,7.0,,,-7
surplus store,surplus store,7.0,,,-7
running store,running store,7.0,,,-7
jewelry designer,jewelry designer,7.0,,,-7
bedroom furniture store,bedroom furniture store,8.0,,,-8
pen store,pen store,8.0,,,-8
flag store,flag store,8.0,,,-8
hat shop,hat shop,8.0,,,-8
bedding store,bedding store,8.0,,,-8
orthopedic shoe store,orthopedic shoe store,8.0,,,-8
movie rental store,movie rental store,8.0,,,-8
taiwanese restaurant,taiwanese restaurant,18.0,taiwanese restaurant,10.0,-8
sports nutrition store,sports nutrition store,8.0,,,-8
spice store,spice store,8.0,,,-8
countertop store,countertop store,9.0,,,-9
novelty store,novelty store,9.0,,,-9
used computer store,used computer store,9.0,,,-9
christian book store,christian book store,9.0,,,-9
guitar store,guitar store,9.0,,,-9
indian grocery store,indian grocery store,9.0,,,-9
roofing supply store,roofing supply store,9.0,,,-9
korean grocery store,korean grocery store,9.0,,,-9
piano store,piano store,9.0,,,-9
vacuum cleaner store,vacuum cleaner store,9.0,,,-9
lebanese restaurant,lebanese restaurant,13.0,lebanese restaurant,4.0,-9
linens store,linens store,9.0,,,-9
herbal medicine store,herbal medicine store,10.0,,,-10
cajun restaurant,cajun restaurant,10.0,,,-10
wheel store,wheel store,10.0,,,-10
juice shop,juice shop,10.0,,,-10
colombian restaurant,colombian restaurant,10.0,,,-10
dress store,dress store,10.0,,,-10
snack bar,snack bar,10.0,,,-10
kosher grocery store,kosher grocery store,10.0,,,-10
balloon store,balloon store,10.0,,,-10
maternity store,maternity store,10.0,,,-10
salad shop,salad shop,10.0,,,-10
brewpub,brewpub,10.0,,,-10
pottery store,pottery store,10.0,,,-10
second hand store,second hand store,10.0,,,-10
outdoor sports store,outdoor sports store,10.0,,,-10
wedding store,wedding store,11.0,,,-11
african goods store,african goods store,11.0,,,-11
tobacco shop,tobacco shop,11.0,,,-11
filipino restaurant,filipino restaurant,62.0,filipino restaurant,51.0,-11
honduran restaurant,honduran restaurant,11.0,,,-11
boot store,boot store,11.0,,,-11
japanese grocery store,japanese grocery store,11.0,,,-11
beer store,beer store,14.0,beer store,3.0,-11
souvenir store,souvenir store,11.0,,,-11
eclectic restaurant,eclectic restaurant,11.0,,,-11
tire shop,tire shop,12.0,,,-12
luggage store,luggage store,22.0,luggage store,10.0,-12
kitchen supply store,kitchen supply store,37.0,kitchen supply store,25.0,-12
bathroom supply store,bathroom supply store,13.0,,,-13
natural goods store,natural goods store,13.0,,,-13
wallpaper store,wallpaper store,13.0,,,-13
bead store,bead store,13.0,,,-13
martial arts supply store,martial arts supply store,13.0,,,-13
western apparel store,western apparel store,13.0,,,-13
consignment shop,consignment shop,13.0,,,-13
computer software store,computer software store,13.0,,,-13
gift basket store,gift basket store,14.0,,,-14
jeweler,jeweler,14.0,,,-14
cabinet store,cabinet store,15.0,,,-15
used bookstore,used book store,17.0,used bookstore,1.0,-16
plus size clothing store,plus size clothing store,16.0,,,-16
fine dining restaurant,fine dining restaurant,16.0,,,-16
camera store,camera store,29.0,camera store,13.0,-16
used book store,used book store,17.0,used bookstore,1.0,-16
marine supply store,marine supply store,16.0,,,-16
fishing store,fishing store,21.0,fishing store,4.0,-17
home theater store,home theater store,17.0,,,-17
cheesesteak restaurant,cheesesteak restaurant,17.0,,,-17
off licence,off licence,17.0,,,-17
used furniture store,used furniture store,17.0,,,-17
jamaican restaurant,jamaican restaurant,18.0,,,-18
dance store,dance store,18.0,,,-18
building materials store,building materials store,18.0,,,-18
kosher restaurant,kosher restaurant,37.0,kosher restaurant,19.0,-18
exercise equipment store,exercise equipment store,18.0,,,-18
candle store,candle store,19.0,,,-19
home audio store,home audio store,19.0,,,-19
tool store,tool store,19.0,,,-19
brunch restaurant,brunch restaurant,19.0,,,-19
animal feed store,animal feed store,19.0,,,-19
custom t-shirt store,custom t-shirt store,19.0,,,-19
organic restaurant,organic restaurant,19.0,,,-19
religious goods store,religious goods store,20.0,,,-20
metaphysical supply store,metaphysical supply store,20.0,,,-20
rug store,rug store,20.0,,,-20
office furniture store,office furniture store,20.0,,,-20
yarn store,yarn store,21.0,,,-21
lumber store,lumber store,21.0,,,-21
outdoor furniture store,outdoor furniture store,21.0,,,-21
collectibles store,collectibles store,22.0,,,-22
used appliance store,used appliance store,22.0,,,-22
fireplace store,fireplace store,22.0,,,-22
new american restaurant,new american restaurant,152.0,new american restaurant,130.0,-22
general store,general store,23.0,,,-23
outlet store,outlet store,25.0,outlet store,2.0,-23
swimming pool supply store,swimming pool supply store,24.0,,,-24
leather goods store,leather goods store,32.0,leather goods store,6.0,-26
hobby store,hobby store,26.0,,,-26
lingerie store,lingerie store,52.0,lingerie store,26.0,-26
pizza delivery,pizza delivery,26.0,,,-26
peruvian restaurant,peruvian restaurant,59.0,peruvian restaurant,32.0,-27
soccer store,soccer store,27.0,,,-27
soul food restaurant,soul food restaurant,27.0,,,-27
tropical fish store,tropical fish store,27.0,,,-27
armenian restaurant,armenian restaurant,28.0,,,-28
hot dog restaurant,hot dog restaurant,28.0,,,-28
traditional american restaurant,traditional american restaurant,28.0,,,-28
watch store,watch store,28.0,,,-28
stationery store,stationery store,33.0,stationery store,4.0,-29
adult entertainment store,adult entertainment store,30.0,,,-30
comic book store,comic book store,30.0,,,-30
packaging supply store,packaging supply store,30.0,,,-30
record store,record store,30.0,,,-30
aircraft supply store,aircraft supply store,30.0,,,-30
hawaiian restaurant,hawaiian restaurant,70.0,hawaiian restaurant,40.0,-30
guatemalan restaurant,guatemalan restaurant,30.0,,,-30
sunglasses store,sunglasses store,30.0,,,-30
gourmet grocery store,gourmet grocery store,31.0,,,-31
deli,deli,32.0,,,-32
persian restaurant,persian restaurant,47.0,persian restaurant,15.0,-32
antique furniture store,antique furniture store,32.0,,,-32
swimwear store,swimwear store,33.0,,,-33
art supply store,art supply store,33.0,,,-33
takeout restaurant,takeout restaurant,34.0,,,-34
buffet restaurant,buffet restaurant,34.0,,,-34
carpet store,carpet store,53.0,carpet store,19.0,-34
game store,game store,36.0,,,-36
t-shirt store,t-shirt store,37.0,,,-37
video game store,video game store,74.0,video game store,36.0,-38
car stereo store,car stereo store,38.0,,,-38
costume store,costume store,40.0,,,-40
mexican grocery store,mexican grocery store,41.0,,,-41
family restaurant,family restaurant,42.0,,,-42
perfume store,perfume store,42.0,,,-42
restaurant supply store,restaurant supply store,44.0,,,-44
plumbing supply store,plumbing supply store,45.0,,,-45
vaporizer store,vaporizer store,45.0,,,-45
craft store,craft store,52.0,,,-52
korean barbecue restaurant,korean barbecue restaurant,55.0,,,-55
baby store,baby store,61.0,baby store,6.0,-55
book store,book store,132.0,bookstore,77.0,-55
sportswear store,sportswear store,55.0,,,-55
health food store,health food store,73.0,health food store,16.0,-57
window treatment store,window treatment store,57.0,,,-57
breakfast restaurant,breakfast restaurant,65.0,,,-65
uniform store,uniform store,68.0,,,-68
californian restaurant,californian restaurant,68.0,,,-68
wine store,wine store,69.0,,,-69
vegan restaurant,vegan restaurant,69.0,,,-69
health food restaurant,health food restaurant,74.0,,,-74
tile store,tile store,76.0,,,-76
variety store,variety store,79.0,,,-79
chicken wings restaurant,chicken wings restaurant,80.0,,,-80
discount store,discount store,196.0,discount store,115.0,-81
office supply store,office supply store,81.0,,,-81
home improvement store,home improvement store,84.0,,,-84
shipping and mailing service,shipping and mailing service,86.0,,,-86
bicycle store,bicycle store,86.0,,,-86
cannabis store,cannabis store,87.0,,,-87
musical instrument store,musical instrument store,93.0,,,-93
toy store,toy store,99.0,,,-99
electronics store,electronics store,242.0,electronics store,143.0,-99
appliance store,appliance store,102.0,,,-102
cafe,cafe,102.0,,,-102
barbecue restaurant,barbecue restaurant,102.0,,,-102
vintage clothing store,vintage clothing store,106.0,,,-106
paint store,paint store,110.0,,,-110
electrical supply store,electrical supply store,112.0,,,-112
fabric store,fabric store,115.0,,,-115
lighting store,lighting store,129.0,lighting store,13.0,-116
south indian restaurant,indian restaurant,119.0,south indian restaurant,2.0,-117
north indian restaurant,indian restaurant,119.0,north indian restaurant,2.0,-117
mattress store,mattress store,162.0,mattress store,37.0,-125
party store,party store,129.0,,,-129
antique store,antique store,131.0,,,-131
department store,department store,255.0,department store,120.0,-135
flooring store,flooring store,136.0,,,-136
computer store,computer store,137.0,,,-137
sporting goods store,sporting goods store,147.0,,,-147
taco restaurant,taco restaurant,151.0,,,-151
dollar store,dollar store,160.0,,,-160
thrift store,thrift store,164.0,,,-164
cosmetics store,cosmetics store,184.0,,,-184
home goods store,home goods store,197.0,,,-197
shoe store,shoe store,399.0,shoe store,200.0,-199
auto parts store,auto parts store,200.0,,,-200
medical supply store,medical supply store,227.0,medical supply store,20.0,-207
chicken restaurant,chicken restaurant,209.0,,,-209
salvadoran restaurant,salvadoran restaurant,238.0,salvadoran restaurant,16.0,-222
furniture / home store,furniture store,591.0,furniture / home store,365.0,-226
furniture store,furniture store,591.0,furniture / home store,365.0,-226
pet supply store,pet supply store,232.0,,,-232
drugstore,drug store,279.0,drugstore,1.0,-278
drug store,drug store,279.0,drugstore,1.0,-278
beauty supply store,beauty supply store,300.0,,,-300
mexican restaurant,mexican restaurant,1606.0,mexican restaurant,1289.0,-317
sandwich shop,sandwich shop,348.0,,,-348
store,store,376.0,,,-376
hamburger restaurant,hamburger restaurant,403.0,,,-403
liquor store,liquor store,756.0,liquor store,215.0,-541
cell phone store,cell phone store,555.0,,,-555
pizza restaurant,pizza restaurant,559.0,,,-559
clothing store,clothing store,1105.0,clothing store,402.0,-703
restaurant,restaurant,1638.0,restaurant,374.0,-1264
grocery store,grocery store,1677.0,grocery store,374.0,-1303
