,_id,count,companies
3586,paradigmtax.com,1,['Paradigm Tax Group']
3587,farislee.com,14,['Faris Lee Investments']
3588,woolpert.com,5,['Woolpert']
3589,linkbusiness.com,1,['Salad Creations of America']
3590,mfirealty.com,9,['MFI Realty']
3591,cea-inc.com,2,['Corporate Environmental Advisors']
3592,metrocre.com,34,['Metro Commercial Real Estate']
3593,amvets.org,1,['AMVETS']
3594,garrisoninv.com,1,['Garrison Investment Group']
3595,cottonwood.com,2,['Cottonwood / Commercial']
3596,fastfixfranchise.com,1,['Fast Fix Jewelry & Watch Repair']
3597,pokeworks.com,1,['Pokeworks']
3598,hsmpacific.com,6,['HSM Pacific Realty']
3599,valuerockpartners.com,2,['Valuerock Realty Partners']
3600,tawa.com,5,"['K', '99 Ranch Market', 'ANC']"
3601,umich.edu,3,['University of Michigan']
3602,duncanville.com,2,['City of Duncanville']
3603,homestreet.com,3,['HomeStreet Bank']
3604,tenantmentorship.com,1,['Tenant Mentorship']
3605,petfoodexpress.com,1,['Pet Food Express']
3606,tommybahama.com,2,['Tommy Bahama']
3607,avondaleaz.gov,1,['City of Avondale']
3608,perryssf.com,1,"[""Perry's""]"
3609,robertgraham.us,1,['Robert Graham']
3610,us.inditex.com,1,['Zara']
3611,cityofwalnut.org,5,['City of Walnut']
3612,musclemakergrill.com,1,['Muscle Maker Grill']
3613,bellsouth.net,1,"[""Fox's Pizza Den""]"
3614,galardigroup.com,3,"['Wienerschnitzel', 'Hamburger Stand']"
3615,pearlmedia.com,2,['Pearl Media']
3616,jpmorgan.com,4,"['Jpmorgan', 'J.P. Morgan Chase']"
3617,outlook.com,3,"['Tacos El Gavilan', 'Hanley Investment Group Real Estate', 'Dubin & Associates']"
3618,sevellrealty.com,1,['Sevell Realty Partners']
3619,weismarkets.com,1,['Weis Markets']
3620,drummingupbusiness.com,1,['Marilyn Monroe Spas']
3621,WalderaRE.com,1,['Modern Market']
3622,mothersmarket.com,1,"[""Mother's Market & Kitchen""]"
3623,seguintexas.gov,2,['City of Seguin']
3624,seagrovela.com,1,['Seagrove La']
3625,punchbowlsocial.com,1,['Punch Bowl Social']
3626,nyxcosmetics.com,1,['NYX']
3627,quantumcompanies.com,3,['Quantum Companies']
3628,nassimirealty.com,5,['Nassimi Realty']
3629,greeby.com,1,['The Greeby Companies']
3630,splrealty.com,1,['RYU']
3631,commercialpropertyone.com,1,['Commercial Property One']
3632,crowntrophy.nyc,1,['Crown Trophy']
3633,donahueassociatesvt.com,2,['Donahue & Associates']
3634,o2bkids.com,2,['O2B Kids']
3635,fremontohio.org,2,['City of Fremont']
3636,brightnow.com,1,['Bright Now Dental']
3637,magmilecapital.com,1,['Mag Mile Capital']
3638,acquisitionconsultants.co,2,['Acquisition Consultants']
3639,angelview.org,2,['Angel View']
3640,bkmonline.net,1,['BKM']
3641,taubman.com,22,['Taubman Centers']
3642,mendocinofarms.com,1,['Mendocino Farms']
3643,levinmgt.com,6,['Levin Management']
3644,theshoppingcentergroup.com,75,['TSCG']
3645,avenuecre.com,2,['Avenue Commercial Real Estate']
3646,touchsource.com,2,['Touchsource']
3647,charleys.com,5,"['Bibibop', 'Charleys Phillysteaks', 'Charleys Philly Steaks']"
3648,myprovident.com,1,['Provident Bank']
3649,leandertx.gov,2,['City of Leander']
3650,templeedc.com,1,['Temple Economic Development']
3651,ALDREALTY.COM,1,['Gallelli Real Estate']
3652,edmondok.com,2,['City of Edmond']
3653,kiterealty.com,21,['Kite Realty Group']
3654,logansroadhouse.com,1,['Logan’s Roadhouse']
3655,coxcastle.com,4,"['Cox, Castle & Nicholson']"
3656,agoc.com,6,['Armstrong Development Properties']
3657,retailassociates.com,7,['Commercial Retail Associates']
3658,dinecrg.com,1,['Cohn Restaurant Group']
3659,cohenequities.com,2,['Cohen Equities']
3660,walkerdunlop.com,7,['Walker & Dunlop']
3661,oberfeldsnowcap.com,4,['Oberfeld Snowcap']
3662,thedanielgroup.com,1,['The Daniel Group']
3663,capitalretailproperties.com,6,['Capital Retail Properties']
3664,hudsonre.com,2,['Hudson RE']
3665,hannigan.net,1,['GME Development']
3666,ferguson.com,1,['Ferguson']
3667,wabagrill.com,1,['WaBa Grill']
3668,gray-robinson.com,2,"['Gray', 'Grayrobinson, P.a']"
3669,bn.com,2,['Barnes & Noble']
3670,pacificcastle.com,4,['Pacific Castle Management']
3671,highlandpartnerscorp.com,5,['Highland Partners']
3672,vaqueroventures.com,2,['Vaquero Ventures']
3673,leasecake.com,4,['Leasecake']
3674,staffordtx.gov,1,['City of Stafford']
3675,fiestainsurance.com,1,['Fiesta Auto Insurance']
3676,onyxequities.com,1,['CBRE']
3677,standridge-co.com,2,['Standridge Companies']
3678,jimboysnorthamerica.com,1,"[""Jimboy's Tacos""]"
3679,hopkinsgroup.com,1,['HREG']
3680,annapolis.gov,1,['City of Annapolis']
3681,cabrillocu.com,1,['Cabrillo Credit Union']
3682,doitbest.com,2,"['Do It Best', 'Do it Best']"
3683,modpizza.com,4,['MOD Pizza']
3684,sembler.com,16,['The Sembler Company']
3685,ontheborder.com,1,['On the Border']
3686,kabro.com,1,['Kabro Associates']
3687,jurupavalley.org,2,['City of Jurupa Valley']
3688,carnegiecos.com,1,['Carnegie Companies']
3689,ethanallen.com,2,['Ethan Allen']
3690,danielsjewelers.com,1,"[""Daniel's Jewelers""]"
3691,sdsu.edu,1,['San Diego State University']
3692,rakowgroup.com,3,['Rakow Commercial Realty Group']
3693,kingsseafood.com,3,"[""King's Seafood Co"", ""King's Seafood Company""]"
3694,mragta.com,1,['Morris & Ritchie Associates']
3695,ramapo.edu,1,['Ramapo College']
3696,catamountinc.com,1,['Catamount Constructors']
3697,legacycre.com,4,['Legacy Real Estate Advisors']
3698,dylanscandybar.com,1,"[""Dylan's Candy Bar""]"
3699,bowdoinconstruction.com,1,['Bowdoin Construction']
3700,emergingvision.com,2,['Emerging Vision']
3701,derse.com,6,['Derse']
3702,circlek.com,4,['Circle K']
3703,lascodevelopment.com,3,['Lasco Development']
3704,sprint.com,1,['iMobile']
3705,logicCRE.com,1,['Logic Commercial Real Estate']
3706,gfdinc.com,1,['GFD Management']
3707,hgrconstruction.com,9,['HGR Construction']
3708,transwestern.com,10,['Transwestern']
3709,abhi.com,5,['Alexander & Baldwin']
3710,vistapaint.com,1,['Vista Paint']
3711,murrietaca.gov,3,['City of Murrieta']
3712,streetsense.com,3,['Streetsense']
3713,connect.media,1,['Connect Media']
3714,microcenter.com,1,['Micro Electronics']
3715,ranger-rp.com,3,['Ranger Retail Partners']
3716,clarion-consulting.com,1,['Clarion Consulting']
3717,vrei.net,1,['Victory Real Estate Investments']
3718,nextrealtymidatlantic.com,7,['Next Realty Mid-atlantic']
3719,db2re.com,4,['Davidson & Bogel Real Estate']
3720,omninet.com,1,['Omninet Capital']
3721,boyle.com,4,['Boyle Investment Co']
3722,sanjacintoca.gov,4,['City of San Jacinto']
3723,disneyig.com,1,['Disney Investment Group']
3724,fairbourne.com,2,['Fairbourne Properties']
3725,appalachiancre.com,1,['Appalachian Commercial Real Estate']
3726,siteseer.com,2,['Siteseer Technologies']
3727,portofsubs.com,1,['Port of Subs']
3728,brandymelville.com,1,['Brandy Melville']
3729,phillipsedison.com,39,['Phillips Edison & Company']
3730,justerdevelopment.com,2,['Juster Development Co']
3731,atomicwings.com,2,['Atomic Wings']
3732,firstcitycu.org,1,['First City CU']
3733,doghaus.com,2,['Dog Haus']
3734,teambeck.com,9,['Beck Partners']
3735,distroller.com,1,['Distroller']
3736,puttshack.com,1,['Puttshack']
3737,royalpropertiesinc.com,8,['Royal Properties']
3738,limitedbrands.com,4,"[""Victoria's Secret""]"
3739,astonproperties.co.uk,9,['Aston Properties']
3740,thenetworkrealtygroup.com,1,['The Network Realty Group']
3741,canadagoose.com,1,['Canada Goose']
3742,huntretailonline.com,2,['Hunt Retail Properties']
3743,bfrc.com,2,['Firestone Complete Auto Care']
3744,massagegreenspa.com,1,['Massage Green Spa']
3745,igainc.com,1,['IGA']
3746,mycoitracking.com,3,['Mycoi']
3747,buildwithdcbg.com,2,['DC Building Group']
3748,washingtonprime.com,51,['Washington Prime Group']
3749,sre-texas.com,3,['Scarborough Real Estate']
3750,adventuredev.com,1,['Adventure Development']
3751,earthlink.net,1,['Kristoff Commercial Real Estate']
3752,pmbank.com,1,['Pacific Mercantile Bank']
3753,tdfarrell.com,2,['T. D. Farrell Construction']
3754,vts.com,6,['VTS']
3755,bankwithunited.com,4,['United Bank']
3756,buhlinvestors.com,1,['Buhl Investors']
3757,hungryhowies.com,3,"[""Hungry Howie's""]"
3758,fandelretail.com,2,['Fandel Retail Group']
3759,westfin.com,11,['Westwood Financial']
3760,greenbrier-rea.com,2,['Greenbrier Real Estate Advisors']
3761,rosamexicano.com,1,['Rosa Mexicano']
3762,thelotent.com,1,['The LOT']
3763,smisigns.com,1,['SMI Sign Systems']
3764,zoundshearing.com,1,['Zounds Hearing']
3765,northmarq.com,1,['Northmarq']
3766,newmarkmerrill.com,10,['Newmark Merrill Companies']
3767,vzw.com,8,['Verizon Wireless']
3768,PFSbrands.com,1,['Champs Chicken']
3769,mcgrawcp.com,1,['Mcgraw Commercial Properties']
3770,gettyrealty.com,1,['Getty Realty']
3771,idq.com,8,['DQ']
3772,athena-pm.com,4,['Athena Property Management']
3773,divcompanies.com,1,['Diversified Companies']
3774,lululemon.com,1,['Lululemon']
3775,vallartasupermarkets.com,2,['Vallarta Supermarkets']
3776,brueggers.com,3,"[""Bruegger's"", 'RUE']"
3777,theupsstore.com,7,['The UPS Store']
3778,oportun.com,1,['Oportun']
3779,gomerritt.com,2,['Merritt Realty']
3780,morfurniture.com,3,"['Mor Furniture for Less', 'Mor Furniture For Less']"
3781,emilycarterschildt.com,1,['Pop Up Grocer']
3782,horvathtremblay.com,12,['Horvath & Tremblay']
3783,bigoutdoor.com,1,['Big Outdoor']
3784,massageenvy.com,4,['Massage Envy']
3785,fcpt.com,4,['Four Corners Property Trust']
3786,bannerbank.com,1,['Banner Bank']
3787,fgcu.edu,1,['Florida Gulf Coast University']
3788,cityofrosemead.org,1,['City of Rosemead']
3789,ashleyfurniture.com,2,['Ashley Furniture']
3790,zpizza.com,1,['zpizza']
3791,weolive.com,1,['We Olive']
3792,adreny.com,1,['A.D. Real Estate']
3793,thejuicycrab.com,1,['THE JUICY CRAB']
3794,uspginc.com,5,['U.S. Properties Group']
3795,backyardburgers.com,1,['Back Yard Burgers']
3796,cellphonerepair.com,1,['CPR-Cell Phone Repair']
3797,thegoldsteingroup.com,10,['The Goldstein Group']
3798,newportcapitalptrs.com,2,['Newport Capital Partners']
3799,lather.com,2,['Lather']
3800,relocationrealtyinc.com,1,['Relocation Realty']
3801,dynafire.com,2,['Dynafire']
3802,metlife.com,3,"['MetLife', 'Metlife']"
3803,stormtrap.com,1,['Stormtrap']
3804,gantrylife.com,3,['Gantry']
3805,djmcapital.com,4,['DJM Capital Partners']
3806,mytitlepartners.com,1,['Title Partners']
3807,trileaf.com,1,['Trileaf']
3808,pathcc.com,1,['Path Construction']
3809,clover-properties.com,8,"['Clover Investment Properties', 'Investment Properties']"
3810,ufgcorp.com,2,"['Experimax', 'EmbroidMe']"
3811,ofplace.com,4,['Of Place']
3812,corelifeeatery.com,1,['Corelife Eatery']
3813,nasp.com,22,['N/A']
3814,municap.com,1,['Municap']
3815,universalsiteservices.com,2,['Universal Site Services']
3816,garrardgroup.com,2,['Garrard Group']
3817,pullcom.com,1,['Pullman & Comley']
3818,firstam.com,7,['First American Title Insurance Company']
3819,whlr.us,7,['Wheeler Real Estate Investment Trust']
3820,allensigmon.com,1,['Allen Sigmon Real Estate']
3821,madisoncapital.com,3,['Madison Capital']
3822,landdesign.com,2,['Landdesign']
3823,southroof.com,1,['Mid-south Roof Systems']
3824,touro.edu,1,['Touro College']
3825,hooters.com,2,['Hooters']
3826,cubesmart.com,1,['CubeSmart']
3827,thecamptc.com,1,['The Camp Transformation Center']
3828,jamescapitaladvisors.com,6,['James Capital Advisors']
3829,us.nestle.com,1,['Haagen-Dazs']
3830,schickels.com,1,['Schickel Development']
3831,radiusgroup.com,6,"['Radius Commercial Real Estate', 'Lassens']"
3832,zallcompany.com,2,['The Zall Company']
3833,marriott.com,4,"['Marriott International', 'Marriott']"
3834,cbre.com,92,"['Goodyear', 'Luna Grill', 'Cbre', 'Jiffy Lube', 'Aqui Cal-Mex', 'CBRE', 'REI', 'Fallas Discount Stores']"
3835,cityofandalusia.com,1,['City of Andalusia']
3836,cadencecap.com,4,['Cadence Capital Investments']
3837,moncler.us,1,['Moncler']
3838,aritzia.com,2,['Aritzia']
3839,hmsretail.com,1,['Double Standard Kitchenetta']
3840,crescentcommunities.com,1,['Crescent Communities']
3841,tricom.net,1,['Tricom']
3842,odysseyeg.com,1,['Odyssey Engineering Group']
3843,BowleroCorp.com,2,['Bowlero Corporation']
3844,sigmacontracting.com,1,['Sigma Contracting']
3845,rhinorealtygroup.com,2,['Rhino Realty Group']
3846,pacbell.net,1,['Martell Investments']
3847,pvh.com,1,['Calvin Klein']
3848,nyecommercial.com,2,['Nye Commercial Advisors']
3849,sitesource.com,10,['Site Source Retail Broker Network']
