,Building ID,Brand,address,Shopping Center Address,City,State / Prov,Postal Code,Latitude,Longitude,name
54,117280.0,CVS,"188 Linden St, Wellesley, MA 02482",Linden St. & Main St.,Waltham,MA,2452.0,42.37828,-71.22384100000000,CVS
55,116660.0,CVS,"10720 W Bell Rd, Sun City, AZ 85351",W. Bell Rd. & N. Webb Blvd.,Sun City,AZ,85373.0,33.63848,-112.291265,CVS
56,117330.0,CVS,"4490 Paradise Rd, Las Vegas, NV 89109",Paradise Rd. & Vinnin St.,Swampscott,MA,1907.0,42.481697,-70.901572,CVS
57,101710.0,Dollar Tree,"3660 S Tuttle Ave, Sarasota, FL 34239",Bee Ridge Rd. & Tuttle Ave.,Sarasota,FL,34239.0,27.299,-82.5145,Dollar Tree
58,101730.0,Dollar Tree,"9620 Fort Meade Rd, Laurel, MD 20707",Fort Meade Rd.  & Irving St.,Laurel,MD,20707.0,39.096121,-76.83969,Dollar Tree
59,100160.0,Dollar Tree,"1800 E Franklin St Ste 17, Chapel Hill, NC 27514",Chapel Hill Blvd. & I-40,Durham,NC,27707.0,35.9533,-78.9971,Dollar Tree
60,103890.0,Dollar Tree,"800 Bustleton Pike, Richboro, PA 18954",Second St. Pike & Bustleton Pike,Richboro,PA,18954.0,40.208427,-75.01263900000000,Dollar Tree
61,114340.0,Michaels,"1212 Irvine Blvd, Tustin, CA 92780",Irvine Blvd. & Newport Ave.,Tustin,CA,92780.0,33.747331,-117.80955,Michaels
62,114080.0,CVS,"318 W El Norte Pkwy, Escondido, CA 92026",W. El Norte Pkwy. & Centre City Pkwy.,Escondido,CA,92026.0,33.142977,-117.094514,CVS
63,105530.0,Dollar Tree,"4523 N Peoria Ave, Tulsa, OK 74106",N. Peoria Ave. & I-17,Phoenix,AZ,85029.0,33.5833,-112.1185,Dollar Tree
64,103800.0,Dollar Tree,"5409 South Blvd, Charlotte, NC 28217",South Blvd. & Tyvola Rd.,Charlotte,NC,28210.0,35.162605,-80.874662,Dollar Tree
65,105000.0,Dollar Tree,"2300 Dixwell Ave, Hamden, CT 06514",Dixwell Ave. & Skiff St. Ext.,Hamden,CT,6514.0,41.3742,-72.9163,Dollar Tree
66,106470.0,Dollar Tree,"4005 E Chandler Blvd, Phoenix, AZ 85048",40th St. & Chandler Blvd.,Phoenix,AZ,85048.0,33.303867,-111.99558800000000,Dollar Tree
67,109150.0,Dollar Tree,"13345 Worth Ave, Woodbridge, VA 22192",Prince William Pkwy. & Smoketown Rd.,Woodbridge,VA,22192.0,38.649873,-77.294831,Dollar Tree
68,117370.0,CVS,"615 Belmont Ave, Springfield, MA 01108",Belmont Ave. & Ormond St.,Springfield,MA,1108.0,42.086075,-72.555672,CVS
69,114250.0,Dollar Tree,"1838 Marron Rd E, Carlsbad, CA 92008",Marron Rd. & Jefferson St.,Carlsbad,CA,92008.0,33.177856,-117.33846,Dollar Tree
70,113370.0,CVS,"101 Easton Rd Suite 200, Horsham, PA 19044",Horsham Rd. & Dresher Rd.,Horsham,PA,19044.0,40.181852,-75.13375,CVS
71,114550.0,Dollar Tree,"20800 Hesperian Blvd, Hayward, CA 94541",Hesperian Blvd. & Fairmont Dr.,San Leandro,CA,94578.0,37.701109,-122.128801,Dollar Tree
72,102030.0,CVS,"260 South, US-1, Tequesta, FL 33469",US 1 & Campbell Dr.,Homestead,FL,33030.0,25.4785,-80.4629,CVS
73,114820.0,Dollar Tree,"1241 Auburn Way N, Auburn, WA 98002, United States",Auburn Way N. & 15th St. NE,Auburn,WA,98002.0,47.319779,-122.222966,Dollar Tree
74,114230.0,CVS,"1631 S Melrose Dr, Vista, CA 92081",S. Melrose Dr. & Longhorn Rd.,Vista,CA,92081.0,33.165903,-117.247534,CVS
75,114060.0,Dollar Tree,"11975 Central Ave, Chino, CA 91710",Central Ave. & Philadelphia St.,Chino,CA,91710.0,34.035287,-117.68845,Dollar Tree
76,111001.0,Dollar Tree,"425 W Lincoln Hwy Ste 100, Carroll, IA 51401",W. 7th St. & Carroll St.,Fort Worth,TX,76107.0,32.754133,-97.352386,Dollar Tree
77,106140.0,Dollar Tree,"662 W Cuthbert Blvd, Haddon Township, NJ 08108",Cuthbert Blvd. & MacArthur Blvd.,Westmont,NJ,8108.0,39.901598,-75.062935,Dollar Tree
78,116130.0,CVS,"63 Lincoln Blvd, Lincoln, CA 95648",Lincoln Blvd. & Ferrari Ranch Rd.,Lincoln,CA,95648.0,38.878218,-121.294903,CVS
79,117520.0,Dollar Tree,"436 Crosstown Drive, Peachtree City, GA 30269",S. Peachtree Pkwy. & Crosstown Dr.,Peachtree City,GA,30269.0,33.3774,-84.5626,Dollar Tree
80,,Ross Dress for Less,"3615 Florida Ave S, Lakeland, FL 33803",S. Florida Ave. (SR 37) & Drane Field Rd.,,,,,,
81,,Ross Dress for Less,"5220 E Bay Dr, Largo, FL 33764",E. Bay Dr. & US Hwy. 19,,,,,,
82,,Ross Dress for Less,"5504 N Division St, Spokane, WA 99208",Division St. (US 2) & Rowan Ave.,,,,,,
83,,Ross Dress for Less,"6208 Glenwood Ave, Raleigh, NC 27612",US Hwy. 70 (Glenwood Ave.) & Pleasant Valley Rd.,,,,,,
84,,Ross Dress for Less,"1161 N Burleson Blvd, Burleson, TX 76028",McAlister Road & Ashbury Blvd. on Hwy. 35,,,,,,
85,,Ross Dress for Less,"330 N McKinley St, Corona, CA 92879",Rte. 91 & McKinley St.,,,,,,
86,,Ross Dress for Less,"10041 NE Cascades Pkwy, Portland, OR 97220",Cascades Pkwy. & Harry Byrd Hwy.,,,,,,
87,,Ross Dress for Less,"32155 Temecula Pkwy, Temecula, CA 92592",Temecula Pkwy. & Redhawk Pkwy.,,,,,,
88,,Ross Dress for Less,"4501 W Braker Ln, Austin, TX 78759",Rte. 1 & Rte. 290,,,,,,
89,,Ross Dress for Less,"560 N Euclid St, Anaheim, CA 92801",N. Euclid St. & Santa Ana Frwy.,,,,,,
90,,Ross Dress for Less,"4408 Las Positas Rd, Livermore, CA 94551",First St. & Las Positas Rd.,,,,,,
91,,Michaels,"5442 New Hope Commons Dr, Durham, NC 27707",Chapel Hill Blvd. & I-40,,,,,,
92,,Michaels,"1231 Knapp Rd, Montgomery Township, PA 19454",Knapp Rd. & Rte. 202,,,,,,
93,,Michaels,"135 Promenade Blvd, Bridgewater Township, NJ 08807",Rte. 28 & I-287,,,,,,
94,,Michaels,"2130 NJ-35, Holmdel, NJ 07733",Rte. 35 & Laurel Ave.,,,,,,
95,,Michaels,"46301 Potomac Run Plaza, Sterling, VA 20164",Cascades Pkwy. & Harry Byrd Hwy.,,,,,,
96,,Michaels,"5400 Brodie Ln, Austin, TX 78745, USA",Rte. 1 & Rte. 290,,,,,,
97,,Michaels,"2649 Vista Way, Oceanside, CA 92054",Vista Way & El Camino Real,,,,,,
98,,Michaels,"2101 NE Burnside Rd, Gresham, OR 97030, USA",NE Burnside Rd. & NE Hogan Dr.,,,,,,
99,,Michaels,"11111 San Jose Blvd, Jacksonville, FL 32223, USA",Claire Lane & State Road 13,,,,,,
100,,Michaels,"340 Crossroads Blvd, Cary, NC 27518, USA",213 Crossroads Blvd. (Exit 293A off of I40),,,,,,
101,,Michaels,"821 Center Point Way, Gaithersburg, MD 20878",200 Kentlands Blvd. Kentlands Blvd & Market St,,,,,,
102,,CVS,"306 E Woodlawn Rd, Charlotte, NC 28217",South Blvd. & Woodlawn Rd.,,,,,,
103,,CVS,"9030 Brooks Rd S, Windsor, CA 95492",Brooks Rd. S. & Lakewood Dr.,,,,,,
104,,Dollar Tree,"6159 9th Ave N, St. Petersburg, FL 33710",9th Ave. & Tyrone Blvd.,,,,,,
105,,Dollar Tree,"5080 E Bay Dr, Clearwater, FL 33764, USA",E. Bay Dr. & US Hwy. 19,,,,,,
106,,Dollar Tree,"9620 Fort Meade Rd, Laurel, MD 20707",Fort Meade Rd. (Rte. 198) & Irving St.,,,,,,
107,,Dollar Tree,"9360 Miller Rd, Miami, FL 33165",Miller Dr. (SW 56th St) @ 92nd & 93rd,,,,,,
108,,Dollar Tree,"3231 Richmond Ave, Staten Island, NY 10312",Arthur Kill Rd. & Richmond Ave.,,,,,,
109,,Dollar Tree,"351 Englewood Pkwy, Englewood, CO 80110, USA",W. Girard Ave. & S. Elati St.,,,,,,
110,,Dollar Tree,"7934 Belair Rd, Nottingham, MD 21236",Belair Rd. & Roseville Blvd.,,,,,,
111,,Dollar Tree,"10894 SE Oak St, Milwaukie, OR 97222",Hwy. 224 & SE Oak St.,,,,,,
112,,Dollar Tree,"2117 NE Burnside Rd, Gresham, OR 97030",NE Burnside Rd. & NE Hogan Dr.,,,,,,
113,,Dollar Tree,"11111 San Jose Blvd Suite 45, Jacksonville, FL 32223",Claire Lane & State Road 13,,,,,,
114,,Dollar Tree,"9525 W Flagler St, Miami, FL 33174",W. Flagler St. & NW 97th Ave.,,,,,,
115,,Dollar Tree,"5745 N 19th Ave, Phoenix, AZ 85015",West Bethany Home Rd. & 19th Ave.,,,,,,
