,Building ID_x,Brand_x,Shopping Center Address,City_x,State / Prov_x,Postal Code_x,Latitude_x,Longitude_x,name,address,Volume IDX,Retail IDX,Category IDX,Brand IDX,Rating,# Reviews,# Locations,Building ID_y,Brand_y,City_y,State / Prov_y,Postal Code_y,Latitude_y,Longitude_y
0,106640.0,Ross Dress for Less,N. Dale Mabry Hwy. & Ehrlich Rd.,Tampa,FL,33624.0,28.087116,-82.50540500000002,Ross Dress for Less,"14940 N Dale Mabry Hwy, Tampa, FL 33618",0.8,0.76,1.22,0.92,4.3,691.0,,106640.0,Ross Dress for Less,Tampa,FL,33624.0,28.087115999999998,-82.50540500000001
1,100500.0,Ross Dress for Less,Southcenter Pkwy. & Minkler Blvd.,Tukwila,WA,98188.0,47.446093,-122.260892,Ross Dress for Less,"17672 Southcenter Pkwy, Tukwila, WA 98188",,,,,,,,100500.0,Ross Dress for Less,Tukwila,WA,98188.0,47.446093,-122.260892
2,101770.0,Ross Dress for Less,US Hwy. 70  & Pleasant Valley Rd.,Raleigh,NC,27612.0,35.85883,-78.70366999999997,Ross Dress for Less,"2189 US Hwy 70 SE, Hickory, NC 28602",1.04,0.99,1.34,1.19,4.3,1056.0,,,,,,,,
3,111550.0,Ross Dress for Less,Stanford Ranch Rd. & Hwy. 65,Roseville,CA,95677.0,38.781739,-121.267865,Ross Dress for Less,"6744 Stanford Ranch Rd, Roseville, CA 95678",0.0,0.0,0.0,0.0,4.0,536.0,,111550.0,Ross Dress for Less,Roseville,CA,95677.0,38.781739,-121.26786499999999
4,100240.0,Ross Dress for Less,I-4 & Turkey Lake Rd.,Orlando,FL,32819.0,28.453501,-81.47648000000002,Ross Dress for Less,"7603 Turkey Lake Rd, Orlando, FL 32819",0.86,0.92,1.17,0.99,4.6,298.0,,100240.0,Ross Dress for Less,Orlando,FL,32819.0,28.453501,-81.47648000000001
5,106820.0,Ross Dress for Less,S. Parker Rd. & Havana St.,Aurora,CO,80014.0,39.67351,-104.867486,Ross Dress for Less,"2393 S Havana St, Aurora, CO 80014",,,,,,,,106820.0,Ross Dress for Less,Aurora,CO,80014.0,39.67351,-104.86748600000001
6,100380.0,Ross Dress for Less,Hawthorne Blvd. & Halison St.,Torrance,CA,90503.0,33.851859999999995,-118.352751,Ross Dress for Less,"19800 Hawthorne Blvd, Torrance, CA 90503, United States",0.54,0.54,1.0,0.62,4.1,544.0,,100380.0,Ross Dress for Less,Torrance,CA,90503.0,33.851859999999995,-118.352751
7,105650.0,Ross Dress for Less,Rte. 75 & Lemmon Ave.,Dallas,TX,75204.0,32.8036,-96.7889,Ross Dress for Less,"2405 N Haskell Ave., Dallas, TX 75204",1.57,1.61,2.68,0.0,4.1,303.0,,105650.0,Ross Dress for Less,Dallas,TX,75204.0,32.8036,-96.7889
8,101230.0,Ross Dress for Less,S. Florida Ave.  & Drane Field Rd.,Lakeland,FL,33803.0,27.998479,-81.959288,Ross Dress for Less,"3615 Florida Ave S, Lakeland, FL 33803",0.88,0.87,1.0,1.01,4.1,784.0,,,,,,,,
9,100030.0,Ross Dress for Less,Citrus Park Dr. & Easy St.,Tampa,FL,33625.0,28.064705,-82.57585999999998,Ross Dress for Less,"12775 Citrus Plaza Dr, Tampa, FL 33625",,,,,,,,100030.0,Ross Dress for Less,Tampa,FL,33625.0,28.064705,-82.57585999999999
10,114050.0,Ross Dress for Less,Philadelphia St. & Central Ave.,Chino,CA,91710.0,34.032269,-117.684068,Ross Dress for Less,"5501 Philadelphia St, Chino, CA 91710",0.7,0.65,0.99,0.81,4.3,553.0,,114050.0,Ross Dress for Less,Chino,CA,91710.0,34.032269,-117.684068
11,100110.0,Ross Dress for Less,Brandon Town Center Dr. & Ring Rd.,Brandon,FL,33511.0,27.936765,-82.32333299999998,Ross Dress for Less,"135 Brandon Town Center Dr, Brandon, FL 33511",1.31,1.29,1.62,1.5,4.0,1222.0,,100110.0,Ross Dress for Less,Brandon,FL,33511.0,27.936765,-82.32333299999999
12,100430.0,Ross Dress for Less,Town Center Blvd. & Prospect Ave.,Champaign,IL,61821.0,40.141759,-88.259493,Ross Dress for Less,"2555 Town Center Blvd N, Sugar Land, TX 77479",0.96,0.99,1.13,1.1,4.0,558.0,,100430.0,Ross Dress for Less,Champaign,IL,61821.0,40.141759,-88.259493
