Company,Volume IDX,Retail IDX,Category IDX,Brand IDX,Rating,# Reviews,
"Ross Dress for Less (15100 Hesperian Blvd, San Leandro, CA 94578)",0,0,0,0,3.9,450,
"Ross Dress for Less (2505 Vista Way, Oceanside, CA 92054)",0.86,0.82,1.38,0.86,4.1,595,
"Ross Dress for Less (2520 Jamacha Road, El Cajon, CA 92019)",0.92,0.77,0.91,0.92,4.2,714,
"Ross Dress for Less (13630 Poway Rd, Poway, CA 92064)",1.11,1.04,1.05,1.12,4.2,219,
"Ross Dress for Less (300 NW Eastman Pkwy, Gresham, OR 97030)",0.8,0.84,0.8,0.81,3.9,762,
"Ross Dress for Less (1023 Edwards Ferry Rd NE, Leesburg, VA 20176)",0.83,0.76,1.26,0.84,4,178,
"Ross Dress for Less (8115 W Bell Rd, Peoria, AZ 85382)",0.93,1,1.11,0.94,4,829,
"Ross Dress for Less (26117 104th Ave SE, Kent, WA 98030)",0.89,0.83,1.08,0.9,3.9,675,
"Ross Dress for Less (1410 Linda Mar Shopping Center, Pacifica, CA 94044)",1.01,0.81,1,1.02,4.2,211,
"Ross Dress for Less (4112 Fremont Hub, Fremont, CA 94538)",0,0,0,0,3.9,604,
"Ross Dress for Less (6545 Spring Stuebner Rd, Spring, TX 77379)",1.22,1.09,1,1.23,4.1,386,
"Ross Dress for Less (5850 S Vermont Ave, Los Angeles, CA 90044)",1,0.83,1.06,1,4.2,521,
"Ross Dress for Less (1751 W Bethany Home Rd, Phoenix, AZ 85015)",1.47,1.25,1.51,1.48,4,1444,
"Ross Dress for Less (6610 Edwardsville Crossing Dr, Edwardsville, IL 62025)",0.86,0.8,1.04,0.87,4.1,572,
"Ross Dress for Less (5220 E Bay Dr, Largo, FL 33764)",0.92,0.77,0.96,0.92,4.2,680,
"Ross Dress for Less (5504 N Division St, Spokane, WA 99208)",1.02,1.1,1,1.02,4,965,
"Ross Dress for Less (6208 Glenwood Ave, Raleigh, NC 27612)",0.71,0.81,1.05,0.72,4.1,370,
"Ross Dress for Less (1161 N Burleson Blvd, Burleson, TX 76028)",0.96,0.88,1.04,0.97,4.1,733,
"Ross Dress for Less (330 N McKinley St, Corona, CA 92879)",1.04,0.9,0.88,1.05,4.1,503,
"Ross Dress for Less (10041 NE Cascades Pkwy, Portland, OR 97220)",0,0,0,0,4,488,
"Ross Dress for Less (32155 Temecula Pkwy, Temecula, CA 92592)",0.95,0.86,0.86,0.96,3.9,51,
"Ross Dress for Less (4501 W Braker Ln, Austin, TX 78759)",0.88,0.87,0.81,0.89,4.1,541,
"Ross Dress for Less (560 N Euclid St, Anaheim, CA 92801)",0.81,0.76,0.99,0.82,4.1,1014,
"Ross Dress for Less (4408 Las Positas Rd, Livermore, CA 94551)",0,0,0,0,4,285,
"CVS (2221 Cloverdale Ave, Winston-Salem, NC 27103)",1.87,1,1,1.05,3.3,29,
"CVS (9582 Old Keene Mill Rd, Burke, VA 22015)",1.79,1.55,1.2,1,2.7,15,
"CVS (25880 McBean Pkwy, Valencia, CA 91355)",1.91,2.01,1.06,1.07,4.1,24,
"CVS (4401 E 10th St, Indianapolis, IN 46201)",1.67,1.24,1.01,0.93,3.5,26,
"CVS (2878 Vista Blvd, Sparks, NV 89434)",1.59,1.36,1,0.89,2.5,26,
